# FGCom-mumble Far-Field Radiation Pattern
# Frequency: 36.0 MHz
# Altitude: 0 m
# Format: Theta Phi Gain_dBi H_Polarization V_Polarization
# Theta: Elevation angle (0-180 degrees)
# Phi: Azimuth angle (0-360 degrees)
# Gain: Antenna gain in dBi
# H_Polarization: Horizontal polarization component
# V_Polarization: Vertical polarization component
0.00 0.00 2.65 0.0 1.0
5.00 0.00 3.10 0.0 1.0
10.00 0.00 3.41 0.0 1.0
15.00 0.00 3.58 0.0 1.0
20.00 0.00 3.61 0.0 1.0
25.00 0.00 3.49 0.0 1.0
30.00 0.00 3.22 0.0 1.0
35.00 0.00 2.80 0.0 1.0
40.00 0.00 2.22 0.0 1.0
45.00 0.00 1.50 0.5 0.5
50.00 0.00 0.68 0.5 0.5
55.00 0.00 -0.20 0.5 0.5
60.00 0.00 -1.09 0.5 0.5
65.00 0.00 -1.99 0.5 0.5
70.00 0.00 -2.97 0.5 0.5
75.00 0.00 -4.28 0.5 0.5
80.00 0.00 -6.45 0.5 0.5
85.00 0.00 -11.00 0.5 0.5
0.00 10.00 2.65 0.0 1.0
5.00 10.00 3.07 0.0 1.0
10.00 10.00 3.37 0.0 1.0
15.00 10.00 3.56 0.0 1.0
20.00 10.00 3.61 0.0 1.0
25.00 10.00 3.54 0.0 1.0
30.00 10.00 3.33 0.0 1.0
35.00 10.00 2.98 0.0 1.0
40.00 10.00 2.49 0.0 1.0
45.00 10.00 1.88 0.5 0.5
50.00 10.00 1.16 0.5 0.5
55.00 10.00 0.36 0.5 0.5
60.00 10.00 -0.49 0.5 0.5
65.00 10.00 -1.41 0.5 0.5
70.00 10.00 -2.47 0.5 0.5
75.00 10.00 -3.90 0.5 0.5
80.00 10.00 -6.19 0.5 0.5
85.00 10.00 -10.85 0.5 0.5
0.00 20.00 2.65 0.0 1.0
5.00 20.00 3.04 0.0 1.0
10.00 20.00 3.33 0.0 1.0
15.00 20.00 3.51 0.0 1.0
20.00 20.00 3.60 0.0 1.0
25.00 20.00 3.58 0.0 1.0
30.00 20.00 3.44 0.0 1.0
35.00 20.00 3.18 0.0 1.0
40.00 20.00 2.81 0.0 1.0
45.00 20.00 2.32 0.5 0.5
50.00 20.00 1.72 0.5 0.5
55.00 20.00 1.03 0.5 0.5
60.00 20.00 0.23 0.5 0.5
65.00 20.00 -0.70 0.5 0.5
70.00 20.00 -1.83 0.5 0.5
75.00 20.00 -3.38 0.5 0.5
80.00 20.00 -5.80 0.5 0.5
85.00 20.00 -10.60 0.5 0.5
0.00 30.00 2.65 0.0 1.0
5.00 30.00 2.99 0.0 1.0
10.00 30.00 3.26 0.0 1.0
15.00 30.00 3.45 0.0 1.0
20.00 30.00 3.56 0.0 1.0
25.00 30.00 3.59 0.0 1.0
30.00 30.00 3.52 0.0 1.0
35.00 30.00 3.36 0.0 1.0
40.00 30.00 3.10 0.0 1.0
45.00 30.00 2.73 0.5 0.5
50.00 30.00 2.24 0.5 0.5
55.00 30.00 1.64 0.5 0.5
60.00 30.00 0.90 0.5 0.5
65.00 30.00 -0.01 0.5 0.5
70.00 30.00 -1.20 0.5 0.5
75.00 30.00 -2.84 0.5 0.5
80.00 30.00 -5.39 0.5 0.5
85.00 30.00 -10.32 0.5 0.5
0.00 40.00 2.65 0.0 1.0
5.00 40.00 2.93 0.0 1.0
10.00 40.00 3.17 0.0 1.0
15.00 40.00 3.35 0.0 1.0
20.00 40.00 3.47 0.0 1.0
25.00 40.00 3.54 0.0 1.0
30.00 40.00 3.53 0.0 1.0
35.00 40.00 3.45 0.0 1.0
40.00 40.00 3.27 0.0 1.0
45.00 40.00 3.00 0.5 0.5
50.00 40.00 2.61 0.5 0.5
55.00 40.00 2.09 0.5 0.5
60.00 40.00 1.40 0.5 0.5
65.00 40.00 0.50 0.5 0.5
70.00 40.00 -0.71 0.5 0.5
75.00 40.00 -2.41 0.5 0.5
80.00 40.00 -5.06 0.5 0.5
85.00 40.00 -10.11 0.5 0.5
0.00 50.00 2.65 0.0 1.0
5.00 50.00 2.86 0.0 1.0
10.00 50.00 3.05 0.0 1.0
15.00 50.00 3.20 0.0 1.0
20.00 50.00 3.33 0.0 1.0
25.00 50.00 3.40 0.0 1.0
30.00 50.00 3.43 0.0 1.0
35.00 50.00 3.39 0.0 1.0
40.00 50.00 3.28 0.0 1.0
45.00 50.00 3.07 0.5 0.5
50.00 50.00 2.74 0.5 0.5
55.00 50.00 2.28 0.5 0.5
60.00 50.00 1.63 0.5 0.5
65.00 50.00 0.75 0.5 0.5
70.00 50.00 -0.47 0.5 0.5
75.00 50.00 -2.21 0.5 0.5
80.00 50.00 -4.92 0.5 0.5
85.00 50.00 -10.06 0.5 0.5
0.00 60.00 2.65 0.0 1.0
5.00 60.00 2.78 0.0 1.0
10.00 60.00 2.91 0.0 1.0
15.00 60.00 3.02 0.0 1.0
20.00 60.00 3.11 0.0 1.0
25.00 60.00 3.17 0.0 1.0
30.00 60.00 3.19 0.0 1.0
35.00 60.00 3.16 0.0 1.0
40.00 60.00 3.07 0.0 1.0
45.00 60.00 2.88 0.5 0.5
50.00 60.00 2.59 0.5 0.5
55.00 60.00 2.15 0.5 0.5
60.00 60.00 1.53 0.5 0.5
65.00 60.00 0.67 0.5 0.5
70.00 60.00 -0.55 0.5 0.5
75.00 60.00 -2.30 0.5 0.5
80.00 60.00 -5.04 0.5 0.5
85.00 60.00 -10.21 0.5 0.5
0.00 70.00 2.65 0.0 1.0
5.00 70.00 2.70 0.0 1.0
10.00 70.00 2.74 0.0 1.0
15.00 70.00 2.78 0.0 1.0
20.00 70.00 2.81 0.0 1.0
25.00 70.00 2.82 0.0 1.0
30.00 70.00 2.80 0.0 1.0
35.00 70.00 2.74 0.0 1.0
40.00 70.00 2.62 0.0 1.0
45.00 70.00 2.42 0.5 0.5
50.00 70.00 2.12 0.5 0.5
55.00 70.00 1.69 0.5 0.5
60.00 70.00 1.08 0.5 0.5
65.00 70.00 0.23 0.5 0.5
70.00 70.00 -0.96 0.5 0.5
75.00 70.00 -2.68 0.5 0.5
80.00 70.00 -5.40 0.5 0.5
85.00 70.00 -10.55 0.5 0.5
0.00 80.00 2.65 0.0 1.0
5.00 80.00 2.60 0.0 1.0
10.00 80.00 2.55 0.0 1.0
15.00 80.00 2.50 0.0 1.0
20.00 80.00 2.43 0.0 1.0
25.00 80.00 2.35 0.0 1.0
30.00 80.00 2.24 0.0 1.0
35.00 80.00 2.10 0.0 1.0
40.00 80.00 1.91 0.0 1.0
45.00 80.00 1.66 0.5 0.5
50.00 80.00 1.33 0.5 0.5
55.00 80.00 0.88 0.5 0.5
60.00 80.00 0.28 0.5 0.5
65.00 80.00 -0.53 0.5 0.5
70.00 80.00 -1.66 0.5 0.5
75.00 80.00 -3.31 0.5 0.5
80.00 80.00 -5.93 0.5 0.5
85.00 80.00 -10.99 0.5 0.5
0.00 90.00 2.65 0.0 1.0
5.00 90.00 2.51 0.0 1.0
10.00 90.00 2.35 0.0 1.0
15.00 90.00 2.18 0.0 1.0
20.00 90.00 1.99 0.0 1.0
25.00 90.00 1.78 0.0 1.0
30.00 90.00 1.53 0.0 1.0
35.00 90.00 1.26 0.0 1.0
40.00 90.00 0.96 0.0 1.0
45.00 90.00 0.61 0.5 0.5
50.00 90.00 0.22 0.5 0.5
55.00 90.00 -0.24 0.5 0.5
60.00 90.00 -0.81 0.5 0.5
65.00 90.00 -1.54 0.5 0.5
70.00 90.00 -2.55 0.5 0.5
75.00 90.00 -4.05 0.5 0.5
80.00 90.00 -6.51 0.5 0.5
85.00 90.00 -11.41 0.5 0.5
0.00 100.00 2.65 0.0 1.0
5.00 100.00 2.41 0.0 1.0
10.00 100.00 2.14 0.0 1.0
15.00 100.00 1.84 0.0 1.0
20.00 100.00 1.49 0.0 1.0
25.00 100.00 1.11 0.0 1.0
30.00 100.00 0.69 0.0 1.0
35.00 100.00 0.24 0.0 1.0
40.00 100.00 -0.23 0.0 1.0
45.00 100.00 -0.71 0.5 0.5
50.00 100.00 -1.17 0.5 0.5
55.00 100.00 -1.62 0.5 0.5
60.00 100.00 -2.09 0.5 0.5
65.00 100.00 -2.66 0.5 0.5
70.00 100.00 -3.47 0.5 0.5
75.00 100.00 -4.74 0.5 0.5
80.00 100.00 -6.97 0.5 0.5
85.00 100.00 -11.67 0.5 0.5
0.00 110.00 2.65 0.0 1.0
5.00 110.00 2.32 0.0 1.0
10.00 110.00 1.93 0.0 1.0
15.00 110.00 1.48 0.0 1.0
20.00 110.00 0.97 0.0 1.0
25.00 110.00 0.39 0.0 1.0
30.00 110.00 -0.25 0.0 1.0
35.00 110.00 -0.94 0.0 1.0
40.00 110.00 -1.62 0.0 1.0
45.00 110.00 -2.25 0.5 0.5
50.00 110.00 -2.76 0.5 0.5
55.00 110.00 -3.13 0.5 0.5
60.00 110.00 -3.40 0.5 0.5
65.00 110.00 -3.70 0.5 0.5
70.00 110.00 -4.22 0.5 0.5
75.00 110.00 -5.23 0.5 0.5
80.00 110.00 -7.25 0.5 0.5
85.00 110.00 -11.77 0.5 0.5
0.00 120.00 2.65 0.0 1.0
5.00 120.00 2.23 0.0 1.0
10.00 120.00 1.73 0.0 1.0
15.00 120.00 1.14 0.0 1.0
20.00 120.00 0.44 0.0 1.0
25.00 120.00 -0.36 0.0 1.0
30.00 120.00 -1.26 0.0 1.0
35.00 120.00 -2.22 0.0 1.0
40.00 120.00 -3.16 0.0 1.0
45.00 120.00 -3.94 0.5 0.5
50.00 120.00 -4.43 0.5 0.5
55.00 120.00 -4.58 0.5 0.5
60.00 120.00 -4.52 0.5 0.5
65.00 120.00 -4.48 0.5 0.5
70.00 120.00 -4.70 0.5 0.5
75.00 120.00 -5.49 0.5 0.5
80.00 120.00 -7.34 0.5 0.5
85.00 120.00 -11.75 0.5 0.5
0.00 130.00 2.65 0.0 1.0
5.00 130.00 2.16 0.0 1.0
10.00 130.00 1.55 0.0 1.0
15.00 130.00 0.82 0.0 1.0
20.00 130.00 -0.05 0.0 1.0
25.00 130.00 -1.07 0.0 1.0
30.00 130.00 -2.25 0.0 1.0
35.00 130.00 -3.53 0.0 1.0
40.00 130.00 -4.76 0.0 1.0
45.00 130.00 -5.67 0.5 0.5
50.00 130.00 -6.00 0.5 0.5
55.00 130.00 -5.76 0.5 0.5
60.00 130.00 -5.28 0.5 0.5
65.00 130.00 -4.91 0.5 0.5
70.00 130.00 -4.91 0.5 0.5
75.00 130.00 -5.56 0.5 0.5
80.00 130.00 -7.32 0.5 0.5
85.00 130.00 -11.68 0.5 0.5
0.00 140.00 2.65 0.0 1.0
5.00 140.00 2.10 0.0 1.0
10.00 140.00 1.41 0.0 1.0
15.00 140.00 0.56 0.0 1.0
20.00 140.00 -0.47 0.0 1.0
25.00 140.00 -1.70 0.0 1.0
30.00 140.00 -3.15 0.0 1.0
35.00 140.00 -4.77 0.0 1.0
40.00 140.00 -6.32 0.0 1.0
45.00 140.00 -7.30 0.5 0.5
50.00 140.00 -7.30 0.5 0.5
55.00 140.00 -6.56 0.5 0.5
60.00 140.00 -5.68 0.5 0.5
65.00 140.00 -5.06 0.5 0.5
70.00 140.00 -4.94 0.5 0.5
75.00 140.00 -5.53 0.5 0.5
80.00 140.00 -7.27 0.5 0.5
85.00 140.00 -11.60 0.5 0.5
0.00 150.00 2.65 0.0 1.0
5.00 150.00 2.06 0.0 1.0
10.00 150.00 1.31 0.0 1.0
15.00 150.00 0.37 0.0 1.0
20.00 150.00 -0.78 0.0 1.0
25.00 150.00 -2.18 0.0 1.0
30.00 150.00 -3.87 0.0 1.0
35.00 150.00 -5.80 0.0 1.0
40.00 150.00 -7.67 0.0 1.0
45.00 150.00 -8.67 0.5 0.5
50.00 150.00 -8.23 0.5 0.5
55.00 150.00 -7.01 0.5 0.5
60.00 150.00 -5.84 0.5 0.5
65.00 150.00 -5.09 0.5 0.5
70.00 150.00 -4.91 0.5 0.5
75.00 150.00 -5.48 0.5 0.5
80.00 150.00 -7.21 0.5 0.5
85.00 150.00 -11.55 0.5 0.5
0.00 160.00 2.65 0.0 1.0
5.00 160.00 2.04 0.0 1.0
10.00 160.00 1.25 0.0 1.0
15.00 160.00 0.27 0.0 1.0
20.00 160.00 -0.95 0.0 1.0
25.00 160.00 -2.46 0.0 1.0
30.00 160.00 -4.31 0.0 1.0
35.00 160.00 -6.48 0.0 1.0
40.00 160.00 -8.63 0.0 1.0
45.00 160.00 -9.66 0.5 0.5
50.00 160.00 -8.86 0.5 0.5
55.00 160.00 -7.29 0.5 0.5
60.00 160.00 -5.95 0.5 0.5
65.00 160.00 -5.12 0.5 0.5
70.00 160.00 -4.91 0.5 0.5
75.00 160.00 -5.46 0.5 0.5
80.00 160.00 -7.19 0.5 0.5
85.00 160.00 -11.54 0.5 0.5
0.00 170.00 2.65 0.0 1.0
5.00 170.00 2.03 0.0 1.0
10.00 170.00 1.25 0.0 1.0
15.00 170.00 0.26 0.0 1.0
20.00 170.00 -0.96 0.0 1.0
25.00 170.00 -2.49 0.0 1.0
30.00 170.00 -4.39 0.0 1.0
35.00 170.00 -6.66 0.0 1.0
40.00 170.00 -8.99 0.0 1.0
45.00 170.00 -10.17 0.5 0.5
50.00 170.00 -9.29 0.5 0.5
55.00 170.00 -7.57 0.5 0.5
60.00 170.00 -6.12 0.5 0.5
65.00 170.00 -5.23 0.5 0.5
70.00 170.00 -4.98 0.5 0.5
75.00 170.00 -5.51 0.5 0.5
80.00 170.00 -7.24 0.5 0.5
85.00 170.00 -11.57 0.5 0.5
0.00 180.00 2.65 0.0 1.0
5.00 180.00 2.05 0.0 1.0
10.00 180.00 1.30 0.0 1.0
15.00 180.00 0.35 0.0 1.0
20.00 180.00 -0.82 0.0 1.0
25.00 180.00 -2.28 0.0 1.0
30.00 180.00 -4.09 0.0 1.0
35.00 180.00 -6.27 0.0 1.0
40.00 180.00 -8.58 0.0 1.0
45.00 180.00 -10.02 0.5 0.5
50.00 180.00 -9.48 0.5 0.5
55.00 180.00 -7.86 0.5 0.5
60.00 180.00 -6.39 0.5 0.5
65.00 180.00 -5.45 0.5 0.5
70.00 180.00 -5.16 0.5 0.5
75.00 180.00 -5.66 0.5 0.5
80.00 180.00 -7.35 0.5 0.5
85.00 180.00 -11.67 0.5 0.5
0.00 190.00 2.65 0.0 1.0
5.00 190.00 2.09 0.0 1.0
10.00 190.00 1.40 0.0 1.0
15.00 190.00 0.53 0.0 1.0
20.00 190.00 -0.53 0.0 1.0
25.00 190.00 -1.85 0.0 1.0
30.00 190.00 -3.45 0.0 1.0
35.00 190.00 -5.37 0.0 1.0
40.00 190.00 -7.44 0.0 1.0
45.00 190.00 -9.02 0.5 0.5
50.00 190.00 -9.12 0.5 0.5
55.00 190.00 -7.98 0.5 0.5
60.00 190.00 -6.67 0.5 0.5
65.00 190.00 -5.74 0.5 0.5
70.00 190.00 -5.42 0.5 0.5
75.00 190.00 -5.88 0.5 0.5
80.00 190.00 -7.54 0.5 0.5
85.00 190.00 -11.84 0.5 0.5
0.00 200.00 2.65 0.0 1.0
5.00 200.00 2.15 0.0 1.0
10.00 200.00 1.54 0.0 1.0
15.00 200.00 0.79 0.0 1.0
20.00 200.00 -0.13 0.0 1.0
25.00 200.00 -1.24 0.0 1.0
30.00 200.00 -2.57 0.0 1.0
35.00 200.00 -4.12 0.0 1.0
40.00 200.00 -5.80 0.0 1.0
45.00 200.00 -7.25 0.5 0.5
50.00 200.00 -7.89 0.5 0.5
55.00 200.00 -7.50 0.5 0.5
60.00 200.00 -6.64 0.5 0.5
65.00 200.00 -5.91 0.5 0.5
70.00 200.00 -5.64 0.5 0.5
75.00 200.00 -6.11 0.5 0.5
80.00 200.00 -7.75 0.5 0.5
85.00 200.00 -12.04 0.5 0.5
0.00 210.00 2.65 0.0 1.0
5.00 210.00 2.23 0.0 1.0
10.00 210.00 1.71 0.0 1.0
15.00 210.00 1.10 0.0 1.0
20.00 210.00 0.36 0.0 1.0
25.00 210.00 -0.52 0.0 1.0
30.00 210.00 -1.55 0.0 1.0
35.00 210.00 -2.73 0.0 1.0
40.00 210.00 -3.98 0.0 1.0
45.00 210.00 -5.14 0.5 0.5
50.00 210.00 -5.94 0.5 0.5
55.00 210.00 -6.16 0.5 0.5
60.00 210.00 -5.93 0.5 0.5
65.00 210.00 -5.62 0.5 0.5
70.00 210.00 -5.59 0.5 0.5
75.00 210.00 -6.18 0.5 0.5
80.00 210.00 -7.88 0.5 0.5
85.00 210.00 -12.20 0.5 0.5
0.00 220.00 2.65 0.0 1.0
5.00 220.00 2.31 0.0 1.0
10.00 220.00 1.91 0.0 1.0
15.00 220.00 1.44 0.0 1.0
20.00 220.00 0.89 0.0 1.0
25.00 220.00 0.24 0.0 1.0
30.00 220.00 -0.50 0.0 1.0
35.00 220.00 -1.33 0.0 1.0
40.00 220.00 -2.22 0.0 1.0
45.00 220.00 -3.07 0.5 0.5
50.00 220.00 -3.79 0.5 0.5
55.00 220.00 -4.27 0.5 0.5
60.00 220.00 -4.53 0.5 0.5
65.00 220.00 -4.71 0.5 0.5
70.00 220.00 -5.06 0.5 0.5
75.00 220.00 -5.91 0.5 0.5
80.00 220.00 -7.79 0.5 0.5
85.00 220.00 -12.22 0.5 0.5
0.00 230.00 2.65 0.0 1.0
5.00 230.00 2.40 0.0 1.0
10.00 230.00 2.12 0.0 1.0
15.00 230.00 1.80 0.0 1.0
20.00 230.00 1.42 0.0 1.0
25.00 230.00 0.99 0.0 1.0
30.00 230.00 0.50 0.0 1.0
35.00 230.00 -0.05 0.0 1.0
40.00 230.00 -0.64 0.0 1.0
45.00 230.00 -1.24 0.5 0.5
50.00 230.00 -1.82 0.5 0.5
55.00 230.00 -2.35 0.5 0.5
60.00 230.00 -2.84 0.5 0.5
65.00 230.00 -3.37 0.5 0.5
70.00 230.00 -4.09 0.5 0.5
75.00 230.00 -5.26 0.5 0.5
80.00 230.00 -7.41 0.5 0.5
85.00 230.00 -12.04 0.5 0.5
0.00 240.00 2.65 0.0 1.0
5.00 240.00 2.50 0.0 1.0
10.00 240.00 2.33 0.0 1.0
15.00 240.00 2.15 0.0 1.0
20.00 240.00 1.93 0.0 1.0
25.00 240.00 1.68 0.0 1.0
30.00 240.00 1.39 0.0 1.0
35.00 240.00 1.05 0.0 1.0
40.00 240.00 0.68 0.0 1.0
45.00 240.00 0.27 0.5 0.5
50.00 240.00 -0.18 0.5 0.5
55.00 240.00 -0.68 0.5 0.5
