# FGCom-mumble Far-Field Radiation Pattern
# Frequency: 36.0 MHz
# Altitude: 0 m
# Format: Theta Phi Gain_dBi H_Polarization V_Polarization
# Theta: Elevation angle (0-180 degrees)
# Phi: Azimuth angle (0-360 degrees)
# Gain: Antenna gain in dBi
# H_Polarization: Horizontal polarization component
# V_Polarization: Vertical polarization component
0.00 0.00 8.25 0.0 1.0
5.00 0.00 8.81 0.0 1.0
10.00 0.00 9.43 0.0 1.0
15.00 0.00 10.07 0.0 1.0
20.00 0.00 10.70 0.0 1.0
25.00 0.00 11.27 0.0 1.0
30.00 0.00 11.76 0.0 1.0
35.00 0.00 12.16 0.0 1.0
40.00 0.00 12.44 0.0 1.0
45.00 0.00 12.59 0.5 0.5
50.00 0.00 12.61 0.5 0.5
55.00 0.00 12.47 0.5 0.5
60.00 0.00 12.14 0.5 0.5
65.00 0.00 11.59 0.5 0.5
70.00 0.00 10.73 0.5 0.5
75.00 0.00 9.38 0.5 0.5
80.00 0.00 7.11 0.5 0.5
85.00 0.00 2.46 0.5 0.5
0.00 10.00 8.25 0.0 1.0
5.00 10.00 8.81 0.0 1.0
10.00 10.00 9.47 0.0 1.0
15.00 10.00 10.16 0.0 1.0
20.00 10.00 10.84 0.0 1.0
25.00 10.00 11.46 0.0 1.0
30.00 10.00 12.01 0.0 1.0
35.00 10.00 12.45 0.0 1.0
40.00 10.00 12.77 0.0 1.0
45.00 10.00 12.95 0.5 0.5
50.00 10.00 12.99 0.5 0.5
55.00 10.00 12.86 0.5 0.5
60.00 10.00 12.54 0.5 0.5
65.00 10.00 11.99 0.5 0.5
70.00 10.00 11.13 0.5 0.5
75.00 10.00 9.77 0.5 0.5
80.00 10.00 7.49 0.5 0.5
85.00 10.00 2.84 0.5 0.5
0.00 20.00 8.25 0.0 1.0
5.00 20.00 8.80 0.0 1.0
10.00 20.00 9.46 0.0 1.0
15.00 20.00 10.18 0.0 1.0
20.00 20.00 10.89 0.0 1.0
25.00 20.00 11.55 0.0 1.0
30.00 20.00 12.12 0.0 1.0
35.00 20.00 12.59 0.0 1.0
40.00 20.00 12.93 0.0 1.0
45.00 20.00 13.13 0.5 0.5
50.00 20.00 13.18 0.5 0.5
55.00 20.00 13.06 0.5 0.5
60.00 20.00 12.75 0.5 0.5
65.00 20.00 12.21 0.5 0.5
70.00 20.00 11.34 0.5 0.5
75.00 20.00 9.99 0.5 0.5
80.00 20.00 7.71 0.5 0.5
85.00 20.00 3.06 0.5 0.5
0.00 30.00 8.25 0.0 1.0
5.00 30.00 8.77 0.0 1.0
10.00 30.00 9.42 0.0 1.0
15.00 30.00 10.13 0.0 1.0
20.00 30.00 10.84 0.0 1.0
25.00 30.00 11.51 0.0 1.0
30.00 30.00 12.09 0.0 1.0
35.00 30.00 12.56 0.0 1.0
40.00 30.00 12.91 0.0 1.0
45.00 30.00 13.12 0.5 0.5
50.00 30.00 13.17 0.5 0.5
55.00 30.00 13.06 0.5 0.5
60.00 30.00 12.75 0.5 0.5
65.00 30.00 12.20 0.5 0.5
70.00 30.00 11.34 0.5 0.5
75.00 30.00 9.98 0.5 0.5
80.00 30.00 7.70 0.5 0.5
85.00 30.00 3.05 0.5 0.5
0.00 40.00 8.25 0.0 1.0
5.00 40.00 8.72 0.0 1.0
10.00 40.00 9.33 0.0 1.0
15.00 40.00 10.01 0.0 1.0
20.00 40.00 10.70 0.0 1.0
