# FGCom-mumble Far-Field Radiation Pattern
# Frequency: 36.0 MHz
# Altitude: 0 m
# Format: Theta Phi Gain_dBi H_Polarization V_Polarization
# Theta: Elevation angle (0-180 degrees)
# Phi: Azimuth angle (0-360 degrees)
# Gain: Antenna gain in dBi
# H_Polarization: Horizontal polarization component
# V_Polarization: Vertical polarization component
0.00 0.00 0.91 0.0 1.0
5.00 0.00 0.84 0.0 1.0
10.00 0.00 0.66 0.0 1.0
15.00 0.00 0.38 0.0 1.0
20.00 0.00 -0.01 0.0 1.0
25.00 0.00 -0.49 0.0 1.0
30.00 0.00 -1.05 0.0 1.0
35.00 0.00 -1.70 0.0 1.0
40.00 0.00 -2.43 0.0 1.0
45.00 0.00 -3.22 0.5 0.5
50.00 0.00 -4.08 0.5 0.5
55.00 0.00 -5.02 0.5 0.5
60.00 0.00 -6.03 0.5 0.5
65.00 0.00 -7.16 0.5 0.5
70.00 0.00 -8.49 0.5 0.5
75.00 0.00 -10.19 0.5 0.5
80.00 0.00 -12.70 0.5 0.5
85.00 0.00 -17.49 0.5 0.5
0.00 10.00 0.91 0.0 1.0
5.00 10.00 0.84 0.0 1.0
10.00 10.00 0.66 0.0 1.0
15.00 10.00 0.38 0.0 1.0
20.00 10.00 0.00 0.0 1.0
25.00 10.00 -0.46 0.0 1.0
30.00 10.00 -1.01 0.0 1.0
35.00 10.00 -1.63 0.0 1.0
40.00 10.00 -2.32 0.0 1.0
45.00 10.00 -3.08 0.5 0.5
50.00 10.00 -3.90 0.5 0.5
55.00 10.00 -4.80 0.5 0.5
60.00 10.00 -5.80 0.5 0.5
65.00 10.00 -6.92 0.5 0.5
70.00 10.00 -8.26 0.5 0.5
75.00 10.00 -9.99 0.5 0.5
80.00 10.00 -12.55 0.5 0.5
85.00 10.00 -17.38 0.5 0.5
0.00 20.00 0.91 0.0 1.0
5.00 20.00 0.84 0.0 1.0
10.00 20.00 0.67 0.0 1.0
15.00 20.00 0.41 0.0 1.0
20.00 20.00 0.05 0.0 1.0
25.00 20.00 -0.38 0.0 1.0
30.00 20.00 -0.89 0.0 1.0
35.00 20.00 -1.47 0.0 1.0
40.00 20.00 -2.12 0.0 1.0
45.00 20.00 -2.83 0.5 0.5
50.00 20.00 -3.62 0.5 0.5
55.00 20.00 -4.49 0.5 0.5
60.00 20.00 -5.48 0.5 0.5
65.00 20.00 -6.63 0.5 0.5
70.00 20.00 -8.02 0.5 0.5
75.00 20.00 -9.83 0.5 0.5
80.00 20.00 -12.50 0.5 0.5
85.00 20.00 -17.45 0.5 0.5
