# FGCom-mumble Far-Field Radiation Pattern
# Frequency: 36.0 MHz
# Altitude: 0 m
# Format: Theta Phi Gain_dBi H_Polarization V_Polarization
# Theta: Elevation angle (0-180 degrees)
# Phi: Azimuth angle (0-360 degrees)
# Gain: Antenna gain in dBi
# H_Polarization: Horizontal polarization component
# V_Polarization: Vertical polarization component
0.00 0.00 -13.84 0.0 1.0
5.00 0.00 -12.33 0.0 1.0
10.00 0.00 -10.95 0.0 1.0
15.00 0.00 -9.71 0.0 1.0
20.00 0.00 -8.60 0.0 1.0
25.00 0.00 -7.60 0.0 1.0
30.00 0.00 -6.72 0.0 1.0
35.00 0.00 -5.96 0.0 1.0
40.00 0.00 -5.32 0.0 1.0
45.00 0.00 -4.82 0.5 0.5
50.00 0.00 -4.46 0.5 0.5
55.00 0.00 -4.27 0.5 0.5
60.00 0.00 -4.29 0.5 0.5
65.00 0.00 -4.55 0.5 0.5
70.00 0.00 -5.15 0.5 0.5
75.00 0.00 -6.28 0.5 0.5
80.00 0.00 -8.38 0.5 0.5
85.00 0.00 -12.91 0.5 0.5
0.00 10.00 -13.84 0.0 1.0
5.00 10.00 -12.27 0.0 1.0
10.00 10.00 -10.86 0.0 1.0
15.00 10.00 -9.61 0.0 1.0
20.00 10.00 -8.50 0.0 1.0
25.00 10.00 -7.51 0.0 1.0
30.00 10.00 -6.64 0.0 1.0
35.00 10.00 -5.89 0.0 1.0
40.00 10.00 -5.26 0.0 1.0
45.00 10.00 -4.76 0.5 0.5
50.00 10.00 -4.42 0.5 0.5
55.00 10.00 -4.24 0.5 0.5
60.00 10.00 -4.25 0.5 0.5
65.00 10.00 -4.52 0.5 0.5
70.00 10.00 -5.13 0.5 0.5
75.00 10.00 -6.26 0.5 0.5
80.00 10.00 -8.37 0.5 0.5
85.00 10.00 -12.90 0.5 0.5
0.00 20.00 -13.84 0.0 1.0
5.00 20.00 -12.25 0.0 1.0
10.00 20.00 -10.83 0.0 1.0
15.00 20.00 -9.58 0.0 1.0
20.00 20.00 -8.48 0.0 1.0
25.00 20.00 -7.51 0.0 1.0
30.00 20.00 -6.66 0.0 1.0
35.00 20.00 -5.93 0.0 1.0
40.00 20.00 -5.31 0.0 1.0
45.00 20.00 -4.83 0.5 0.5
50.00 20.00 -4.48 0.5 0.5
55.00 20.00 -4.31 0.5 0.5
60.00 20.00 -4.33 0.5 0.5
65.00 20.00 -4.59 0.5 0.5
70.00 20.00 -5.20 0.5 0.5
75.00 20.00 -6.33 0.5 0.5
80.00 20.00 -8.44 0.5 0.5
85.00 20.00 -12.97 0.5 0.5
0.00 30.00 -13.84 0.0 1.0
5.00 30.00 -12.27 0.0 1.0
10.00 30.00 -10.86 0.0 1.0
15.00 30.00 -9.63 0.0 1.0
20.00 30.00 -8.55 0.0 1.0
25.00 30.00 -7.61 0.0 1.0
30.00 30.00 -6.78 0.0 1.0
35.00 30.00 -6.07 0.0 1.0
40.00 30.00 -5.47 0.0 1.0
45.00 30.00 -5.00 0.5 0.5
50.00 30.00 -4.66 0.5 0.5
55.00 30.00 -4.48 0.5 0.5
60.00 30.00 -4.50 0.5 0.5
65.00 30.00 -4.76 0.5 0.5
70.00 30.00 -5.36 0.5 0.5
75.00 30.00 -6.49 0.5 0.5
80.00 30.00 -8.59 0.5 0.5
85.00 30.00 -13.13 0.5 0.5
0.00 40.00 -13.84 0.0 1.0
5.00 40.00 -12.33 0.0 1.0
10.00 40.00 -10.96 0.0 1.0
15.00 40.00 -9.76 0.0 1.0
20.00 40.00 -8.71 0.0 1.0
25.00 40.00 -7.80 0.0 1.0
30.00 40.00 -7.00 0.0 1.0
35.00 40.00 -6.31 0.0 1.0
40.00 40.00 -5.74 0.0 1.0
45.00 40.00 -5.27 0.5 0.5
50.00 40.00 -4.95 0.5 0.5
55.00 40.00 -4.77 0.5 0.5
60.00 40.00 -4.78 0.5 0.5
65.00 40.00 -5.03 0.5 0.5
70.00 40.00 -5.63 0.5 0.5
75.00 40.00 -6.75 0.5 0.5
80.00 40.00 -8.84 0.5 0.5
85.00 40.00 -13.38 0.5 0.5
0.00 50.00 -13.84 0.0 1.0
5.00 50.00 -12.43 0.0 1.0
10.00 50.00 -11.12 0.0 1.0
15.00 50.00 -9.96 0.0 1.0
20.00 50.00 -8.95 0.0 1.0
25.00 50.00 -8.07 0.0 1.0
30.00 50.00 -7.31 0.0 1.0
35.00 50.00 -6.65 0.0 1.0
40.00 50.00 -6.10 0.0 1.0
45.00 50.00 -5.65 0.5 0.5
50.00 50.00 -5.34 0.5 0.5
55.00 50.00 -5.17 0.5 0.5
60.00 50.00 -5.18 0.5 0.5
65.00 50.00 -5.43 0.5 0.5
70.00 50.00 -6.02 0.5 0.5
75.00 50.00 -7.13 0.5 0.5
80.00 50.00 -9.22 0.5 0.5
85.00 50.00 -13.75 0.5 0.5
0.00 60.00 -13.84 0.0 1.0
5.00 60.00 -12.56 0.0 1.0
10.00 60.00 -11.34 0.0 1.0
15.00 60.00 -10.24 0.0 1.0
20.00 60.00 -9.27 0.0 1.0
25.00 60.00 -8.43 0.0 1.0
30.00 60.00 -7.70 0.0 1.0
35.00 60.00 -7.07 0.0 1.0
40.00 60.00 -6.55 0.0 1.0
45.00 60.00 -6.14 0.5 0.5
50.00 60.00 -5.84 0.5 0.5
55.00 60.00 -5.69 0.5 0.5
60.00 60.00 -5.71 0.5 0.5
65.00 60.00 -5.96 0.5 0.5
70.00 60.00 -6.55 0.5 0.5
75.00 60.00 -7.66 0.5 0.5
80.00 60.00 -9.75 0.5 0.5
85.00 60.00 -14.28 0.5 0.5
0.00 70.00 -13.84 0.0 1.0
5.00 70.00 -12.73 0.0 1.0
10.00 70.00 -11.63 0.0 1.0
15.00 70.00 -10.60 0.0 1.0
20.00 70.00 -9.68 0.0 1.0
25.00 70.00 -8.88 0.0 1.0
30.00 70.00 -8.19 0.0 1.0
35.00 70.00 -7.60 0.0 1.0
40.00 70.00 -7.11 0.0 1.0
45.00 70.00 -6.73 0.5 0.5
50.00 70.00 -6.46 0.5 0.5
55.00 70.00 -6.33 0.5 0.5
60.00 70.00 -6.38 0.5 0.5
65.00 70.00 -6.65 0.5 0.5
70.00 70.00 -7.25 0.5 0.5
75.00 70.00 -8.37 0.5 0.5
80.00 70.00 -10.47 0.5 0.5
85.00 70.00 -15.00 0.5 0.5
0.00 80.00 -13.84 0.0 1.0
5.00 80.00 -12.94 0.0 1.0
10.00 80.00 -11.97 0.0 1.0
15.00 80.00 -11.04 0.0 1.0
20.00 80.00 -10.19 0.0 1.0
25.00 80.00 -9.43 0.0 1.0
30.00 80.00 -8.77 0.0 1.0
35.00 80.00 -8.22 0.0 1.0
40.00 80.00 -7.77 0.0 1.0
45.00 80.00 -7.43 0.5 0.5
50.00 80.00 -7.20 0.5 0.5
55.00 80.00 -7.11 0.5 0.5
60.00 80.00 -7.19 0.5 0.5
65.00 80.00 -7.50 0.5 0.5
70.00 80.00 -8.13 0.5 0.5
75.00 80.00 -9.27 0.5 0.5
80.00 80.00 -11.38 0.5 0.5
