# FGCom-mumble Far-Field Radiation Pattern
# Frequency: 36.0 MHz
# Altitude: 0 m
# Format: Theta Phi Gain_dBi H_Polarization V_Polarization
# Theta: Elevation angle (0-180 degrees)
# Phi: Azimuth angle (0-360 degrees)
# Gain: Antenna gain in dBi
# H_Polarization: Horizontal polarization component
# V_Polarization: Vertical polarization component
0.00 0.00 -15.33 0.0 1.0
5.00 0.00 -16.62 0.0 1.0
10.00 0.00 -17.92 0.0 1.0
15.00 0.00 -19.13 0.0 1.0
20.00 0.00 -20.13 0.0 1.0
25.00 0.00 -20.78 0.0 1.0
30.00 0.00 -21.00 0.0 1.0
35.00 0.00 -20.81 0.0 1.0
40.00 0.00 -20.34 0.0 1.0
45.00 0.00 -19.74 0.5 0.5
50.00 0.00 -19.14 0.5 0.5
55.00 0.00 -18.66 0.5 0.5
60.00 0.00 -18.36 0.5 0.5
65.00 0.00 -18.35 0.5 0.5
70.00 0.00 -18.72 0.5 0.5
75.00 0.00 -19.68 0.5 0.5
80.00 0.00 -21.67 0.5 0.5
85.00 0.00 -26.16 0.5 0.5
0.00 10.00 -15.33 0.0 1.0
5.00 10.00 -16.86 0.0 1.0
10.00 10.00 -18.48 0.0 1.0
15.00 10.00 -20.11 0.0 1.0
20.00 10.00 -21.59 0.0 1.0
25.00 10.00 -22.70 0.0 1.0
30.00 10.00 -23.21 0.0 1.0
35.00 10.00 -23.05 0.0 1.0
40.00 10.00 -22.41 0.0 1.0
45.00 10.00 -21.55 0.5 0.5
50.00 10.00 -20.68 0.5 0.5
55.00 10.00 -19.96 0.5 0.5
60.00 10.00 -19.48 0.5 0.5
65.00 10.00 -19.32 0.5 0.5
70.00 10.00 -19.58 0.5 0.5
75.00 10.00 -20.45 0.5 0.5
80.00 10.00 -22.38 0.5 0.5
85.00 10.00 -26.83 0.5 0.5
0.00 20.00 -15.33 0.0 1.0
5.00 20.00 -17.05 0.0 1.0
10.00 20.00 -18.94 0.0 1.0
15.00 20.00 -20.96 0.0 1.0
20.00 20.00 -22.97 0.0 1.0
25.00 20.00 -24.69 0.0 1.0
30.00 20.00 -25.69 0.0 1.0
35.00 20.00 -25.68 0.0 1.0
40.00 20.00 -24.85 0.0 1.0
45.00 20.00 -23.67 0.5 0.5
50.00 20.00 -22.51 0.5 0.5
55.00 20.00 -21.54 0.5 0.5
60.00 20.00 -20.86 0.5 0.5
65.00 20.00 -20.55 0.5 0.5
70.00 20.00 -20.69 0.5 0.5
75.00 20.00 -21.48 0.5 0.5
80.00 20.00 -23.35 0.5 0.5
85.00 20.00 -27.76 0.5 0.5
0.00 30.00 -15.33 0.0 1.0
5.00 30.00 -17.18 0.0 1.0
10.00 30.00 -19.27 0.0 1.0
15.00 30.00 -21.58 0.0 1.0
20.00 30.00 -24.01 0.0 1.0
25.00 30.00 -26.31 0.0 1.0
30.00 30.00 -27.93 0.0 1.0
35.00 30.00 -28.25 0.0 1.0
40.00 30.00 -27.37 0.0 1.0
45.00 30.00 -25.99 0.5 0.5
50.00 30.00 -24.59 0.5 0.5
55.00 30.00 -23.42 0.5 0.5
60.00 30.00 -22.58 0.5 0.5
65.00 30.00 -22.14 0.5 0.5
70.00 30.00 -22.18 0.5 0.5
75.00 30.00 -22.89 0.5 0.5
80.00 30.00 -24.70 0.5 0.5
85.00 30.00 -29.07 0.5 0.5
0.00 40.00 -15.33 0.0 1.0
5.00 40.00 -17.24 0.0 1.0
10.00 40.00 -19.43 0.0 1.0
15.00 40.00 -21.85 0.0 1.0
20.00 40.00 -24.40 0.0 1.0
25.00 40.00 -26.76 0.0 1.0
30.00 40.00 -28.38 0.0 1.0
35.00 40.00 -28.85 0.0 1.0
40.00 40.00 -28.36 0.0 1.0
45.00 40.00 -27.40 0.5 0.5
50.00 40.00 -26.33 0.5 0.5
55.00 40.00 -25.34 0.5 0.5
60.00 40.00 -24.58 0.5 0.5
65.00 40.00 -24.15 0.5 0.5
70.00 40.00 -24.18 0.5 0.5
75.00 40.00 -24.86 0.5 0.5
80.00 40.00 -26.65 0.5 0.5
85.00 40.00 -31.00 0.5 0.5
0.00 50.00 -15.33 0.0 1.0
5.00 50.00 -17.24 0.0 1.0
10.00 50.00 -19.40 0.0 1.0
15.00 50.00 -21.74 0.0 1.0
20.00 50.00 -24.02 0.0 1.0
25.00 50.00 -25.78 0.0 1.0
30.00 50.00 -26.63 0.0 1.0
35.00 50.00 -26.73 0.0 1.0
40.00 50.00 -26.51 0.0 1.0
45.00 50.00 -26.26 0.5 0.5
50.00 50.00 -26.06 0.5 0.5
55.00 50.00 -25.93 0.5 0.5
60.00 50.00 -25.89 0.5 0.5
65.00 50.00 -26.01 0.5 0.5
70.00 50.00 -26.43 0.5 0.5
75.00 50.00 -27.38 0.5 0.5
80.00 50.00 -29.35 0.5 0.5
85.00 50.00 -33.83 0.5 0.5
0.00 60.00 -15.33 0.0 1.0
5.00 60.00 -17.17 0.0 1.0
10.00 60.00 -19.20 0.0 1.0
15.00 60.00 -21.28 0.0 1.0
20.00 60.00 -23.06 0.0 1.0
25.00 60.00 -24.10 0.0 1.0
30.00 60.00 -24.30 0.0 1.0
35.00 60.00 -24.04 0.0 1.0
40.00 60.00 -23.74 0.0 1.0
45.00 60.00 -23.61 0.5 0.5
50.00 60.00 -23.70 0.5 0.5
55.00 60.00 -24.03 0.5 0.5
60.00 60.00 -24.61 0.5 0.5
65.00 60.00 -25.45 0.5 0.5
70.00 60.00 -26.63 0.5 0.5
75.00 60.00 -28.30 0.5 0.5
80.00 60.00 -30.89 0.5 0.5
85.00 60.00 -35.87 0.5 0.5
0.00 70.00 -15.33 0.0 1.0
5.00 70.00 -17.04 0.0 1.0
10.00 70.00 -18.85 0.0 1.0
15.00 70.00 -20.57 0.0 1.0
20.00 70.00 -21.84 0.0 1.0
25.00 70.00 -22.34 0.0 1.0
30.00 70.00 -22.17 0.0 1.0
35.00 70.00 -21.71 0.0 1.0
40.00 70.00 -21.27 0.0 1.0
45.00 70.00 -21.00 0.5 0.5
50.00 70.00 -20.96 0.5 0.5
55.00 70.00 -21.17 0.5 0.5
60.00 70.00 -21.63 0.5 0.5
65.00 70.00 -22.39 0.5 0.5
70.00 70.00 -23.51 0.5 0.5
75.00 70.00 -25.15 0.5 0.5
80.00 70.00 -27.71 0.5 0.5
85.00 70.00 -32.64 0.5 0.5
0.00 80.00 -15.33 0.0 1.0
5.00 80.00 -16.85 0.0 1.0
10.00 80.00 -18.38 0.0 1.0
15.00 80.00 -19.70 0.0 1.0
20.00 80.00 -20.54 0.0 1.0
25.00 80.00 -20.71 0.0 1.0
30.00 80.00 -20.36 0.0 1.0
35.00 80.00 -19.79 0.0 1.0
40.00 80.00 -19.24 0.0 1.0
45.00 80.00 -18.82 0.5 0.5
50.00 80.00 -18.59 0.5 0.5
55.00 80.00 -18.57 0.5 0.5
60.00 80.00 -18.79 0.5 0.5
65.00 80.00 -19.27 0.5 0.5
70.00 80.00 -20.09 0.5 0.5
75.00 80.00 -21.44 0.5 0.5
80.00 80.00 -23.73 0.5 0.5
85.00 80.00 -28.41 0.5 0.5
0.00 90.00 -15.33 0.0 1.0
5.00 90.00 -16.61 0.0 1.0
10.00 90.00 -17.82 0.0 1.0
15.00 90.00 -18.77 0.0 1.0
20.00 90.00 -19.26 0.0 1.0
25.00 90.00 -19.22 0.0 1.0
30.00 90.00 -18.78 0.0 1.0
35.00 90.00 -18.17 0.0 1.0
40.00 90.00 -17.56 0.0 1.0
45.00 90.00 -17.04 0.5 0.5
50.00 90.00 -16.68 0.5 0.5
55.00 90.00 -16.50 0.5 0.5
60.00 90.00 -16.53 0.5 0.5
65.00 90.00 -16.82 0.5 0.5
70.00 90.00 -17.46 0.5 0.5
75.00 90.00 -18.63 0.5 0.5
80.00 90.00 -20.76 0.5 0.5
85.00 90.00 -25.33 0.5 0.5
0.00 100.00 -15.33 0.0 1.0
5.00 100.00 -16.34 0.0 1.0
10.00 100.00 -17.21 0.0 1.0
15.00 100.00 -17.81 0.0 1.0
20.00 100.00 -18.03 0.0 1.0
25.00 100.00 -17.85 0.0 1.0
30.00 100.00 -17.37 0.0 1.0
35.00 100.00 -16.76 0.0 1.0
40.00 100.00 -16.14 0.0 1.0
45.00 100.00 -15.59 0.5 0.5
50.00 100.00 -15.16 0.5 0.5
55.00 100.00 -14.89 0.5 0.5
