# FGCom-mumble Far-Field Radiation Pattern
# Frequency: 36.0 MHz
# Altitude: 0 m
# Format: Theta Phi Gain_dBi H_Polarization V_Polarization
# Theta: Elevation angle (0-180 degrees)
# Phi: Azimuth angle (0-360 degrees)
# Gain: Antenna gain in dBi
# H_Polarization: Horizontal polarization component
# V_Polarization: Vertical polarization component
0.00 0.00 12.31 0.0 1.0
5.00 0.00 12.31 0.0 1.0
10.00 0.00 12.22 0.0 1.0
15.00 0.00 12.02 0.0 1.0
20.00 0.00 11.68 0.0 1.0
25.00 0.00 11.18 0.0 1.0
30.00 0.00 10.48 0.0 1.0
35.00 0.00 9.54 0.0 1.0
40.00 0.00 8.34 0.0 1.0
45.00 0.00 6.92 0.5 0.5
50.00 0.00 5.47 0.5 0.5
55.00 0.00 4.47 0.5 0.5
60.00 0.00 4.34 0.5 0.5
65.00 0.00 4.85 0.5 0.5
70.00 0.00 5.30 0.5 0.5
75.00 0.00 5.13 0.5 0.5
80.00 0.00 3.75 0.5 0.5
85.00 0.00 -0.35 0.5 0.5
0.00 10.00 12.31 0.0 1.0
5.00 10.00 12.28 0.0 1.0
10.00 10.00 12.16 0.0 1.0
15.00 10.00 11.94 0.0 1.0
20.00 10.00 11.59 0.0 1.0
25.00 10.00 11.08 0.0 1.0
30.00 10.00 10.38 0.0 1.0
35.00 10.00 9.47 0.0 1.0
40.00 10.00 8.34 0.0 1.0
45.00 10.00 7.05 0.5 0.5
50.00 10.00 5.80 0.5 0.5
55.00 10.00 4.97 0.5 0.5
60.00 10.00 4.85 0.5 0.5
65.00 10.00 5.22 0.5 0.5
70.00 10.00 5.51 0.5 0.5
75.00 10.00 5.21 0.5 0.5
80.00 10.00 3.75 0.5 0.5
85.00 10.00 -0.41 0.5 0.5
0.00 20.00 12.31 0.0 1.0
5.00 20.00 12.26 0.0 1.0
10.00 20.00 12.12 0.0 1.0
15.00 20.00 11.89 0.0 1.0
20.00 20.00 11.55 0.0 1.0
25.00 20.00 11.07 0.0 1.0
30.00 20.00 10.43 0.0 1.0
35.00 20.00 9.63 0.0 1.0
40.00 20.00 8.67 0.0 1.0
45.00 20.00 7.63 0.5 0.5
50.00 20.00 6.65 0.5 0.5
55.00 20.00 6.00 0.5 0.5
60.00 20.00 5.80 0.5 0.5
65.00 20.00 5.89 0.5 0.5
70.00 20.00 5.90 0.5 0.5
75.00 20.00 5.39 0.5 0.5
80.00 20.00 3.76 0.5 0.5
85.00 20.00 -0.50 0.5 0.5
0.00 30.00 12.31 0.0 1.0
5.00 30.00 12.24 0.0 1.0
10.00 30.00 12.10 0.0 1.0
15.00 30.00 11.88 0.0 1.0
20.00 30.00 11.57 0.0 1.0
25.00 30.00 11.15 0.0 1.0
30.00 30.00 10.62 0.0 1.0
35.00 30.00 9.97 0.0 1.0
40.00 30.00 9.24 0.0 1.0
45.00 30.00 8.46 0.5 0.5
50.00 30.00 7.76 0.5 0.5
55.00 30.00 7.25 0.5 0.5
60.00 30.00 6.98 0.5 0.5
65.00 30.00 6.82 0.5 0.5
70.00 30.00 6.53 0.5 0.5
75.00 30.00 5.75 0.5 0.5
80.00 30.00 3.93 0.5 0.5
85.00 30.00 -0.47 0.5 0.5
0.00 40.00 12.31 0.0 1.0
5.00 40.00 12.22 0.0 1.0
10.00 40.00 12.09 0.0 1.0
15.00 40.00 11.89 0.0 1.0
20.00 40.00 11.64 0.0 1.0
25.00 40.00 11.31 0.0 1.0
30.00 40.00 10.90 0.0 1.0
35.00 40.00 10.44 0.0 1.0
40.00 40.00 9.92 0.0 1.0
45.00 40.00 9.41 0.5 0.5
50.00 40.00 8.94 0.5 0.5
55.00 40.00 8.56 0.5 0.5
60.00 40.00 8.25 0.5 0.5
65.00 40.00 7.93 0.5 0.5
70.00 40.00 7.40 0.5 0.5
75.00 40.00 6.40 0.5 0.5
80.00 40.00 4.39 0.5 0.5
85.00 40.00 -0.16 0.5 0.5
0.00 50.00 12.31 0.0 1.0
5.00 50.00 12.21 0.0 1.0
10.00 50.00 12.09 0.0 1.0
15.00 50.00 11.93 0.0 1.0
20.00 50.00 11.74 0.0 1.0
25.00 50.00 11.51 0.0 1.0
30.00 50.00 11.24 0.0 1.0
35.00 50.00 10.95 0.0 1.0
40.00 50.00 10.65 0.0 1.0
45.00 50.00 10.35 0.5 0.5
50.00 50.00 10.06 0.5 0.5
55.00 50.00 9.80 0.5 0.5
60.00 50.00 9.50 0.5 0.5
65.00 50.00 9.10 0.5 0.5
70.00 50.00 8.44 0.5 0.5
75.00 50.00 7.28 0.5 0.5
80.00 50.00 5.13 0.5 0.5
85.00 50.00 0.46 0.5 0.5
0.00 60.00 12.31 0.0 1.0
5.00 60.00 12.20 0.0 1.0
10.00 60.00 12.09 0.0 1.0
15.00 60.00 11.98 0.0 1.0
20.00 60.00 11.85 0.0 1.0
25.00 60.00 11.73 0.0 1.0
30.00 60.00 11.59 0.0 1.0
35.00 60.00 11.46 0.0 1.0
40.00 60.00 11.33 0.0 1.0
45.00 60.00 11.20 0.5 0.5
50.00 60.00 11.06 0.5 0.5
55.00 60.00 10.89 0.5 0.5
60.00 60.00 10.63 0.5 0.5
65.00 60.00 10.21 0.5 0.5
70.00 60.00 9.49 0.5 0.5
75.00 60.00 8.26 0.5 0.5
80.00 60.00 6.02 0.5 0.5
85.00 60.00 1.29 0.5 0.5
0.00 70.00 12.31 0.0 1.0
5.00 70.00 12.20 0.0 1.0
10.00 70.00 12.10 0.0 1.0
15.00 70.00 12.02 0.0 1.0
20.00 70.00 11.97 0.0 1.0
25.00 70.00 11.93 0.0 1.0
30.00 70.00 11.92 0.0 1.0
35.00 70.00 11.92 0.0 1.0
40.00 70.00 11.92 0.0 1.0
45.00 70.00 11.92 0.5 0.5
50.00 70.00 11.89 0.5 0.5
55.00 70.00 11.79 0.5 0.5
60.00 70.00 11.58 0.5 0.5
65.00 70.00 11.16 0.5 0.5
70.00 70.00 10.43 0.5 0.5
75.00 70.00 9.16 0.5 0.5
80.00 70.00 6.90 0.5 0.5
85.00 70.00 2.14 0.5 0.5
0.00 80.00 12.31 0.0 1.0
5.00 80.00 12.19 0.0 1.0
10.00 80.00 12.11 0.0 1.0
15.00 80.00 12.07 0.0 1.0
20.00 80.00 12.07 0.0 1.0
25.00 80.00 12.11 0.0 1.0
30.00 80.00 12.18 0.0 1.0
35.00 80.00 12.28 0.0 1.0
40.00 80.00 12.38 0.0 1.0
45.00 80.00 12.47 0.5 0.5
50.00 80.00 12.52 0.5 0.5
55.00 80.00 12.47 0.5 0.5
60.00 80.00 12.29 0.5 0.5
65.00 80.00 11.89 0.5 0.5
70.00 80.00 11.17 0.5 0.5
75.00 80.00 9.90 0.5 0.5
80.00 80.00 7.63 0.5 0.5
85.00 80.00 2.88 0.5 0.5
0.00 90.00 12.31 0.0 1.0
5.00 90.00 12.19 0.0 1.0
10.00 90.00 12.12 0.0 1.0
15.00 90.00 12.10 0.0 1.0
20.00 90.00 12.14 0.0 1.0
25.00 90.00 12.23 0.0 1.0
30.00 90.00 12.36 0.0 1.0
35.00 90.00 12.52 0.0 1.0
40.00 90.00 12.69 0.0 1.0
45.00 90.00 12.84 0.5 0.5
50.00 90.00 12.92 0.5 0.5
55.00 90.00 12.92 0.5 0.5
60.00 90.00 12.76 0.5 0.5
65.00 90.00 12.39 0.5 0.5
70.00 90.00 11.68 0.5 0.5
75.00 90.00 10.43 0.5 0.5
80.00 90.00 8.18 0.5 0.5
85.00 90.00 3.45 0.5 0.5
90.00 90.00 -199.92 0.5 0.5
0.00 100.00 12.31 0.0 1.0
5.00 100.00 12.19 0.0 1.0
10.00 100.00 12.12 0.0 1.0
15.00 100.00 12.11 0.0 1.0
20.00 100.00 12.17 0.0 1.0
25.00 100.00 12.28 0.0 1.0
