# FGCom-mumble Far-Field Radiation Pattern
# Frequency: 36.0 MHz
# Altitude: 0 m
# Format: Theta Phi Gain_dBi H_Polarization V_Polarization
# Theta: Elevation angle (0-180 degrees)
# Phi: Azimuth angle (0-360 degrees)
# Gain: Antenna gain in dBi
# H_Polarization: Horizontal polarization component
# V_Polarization: Vertical polarization component
0.00 0.00 -13.47 0.0 1.0
5.00 0.00 -12.42 0.0 1.0
10.00 0.00 -11.30 0.0 1.0
15.00 0.00 -10.19 0.0 1.0
20.00 0.00 -9.13 0.0 1.0
25.00 0.00 -8.17 0.0 1.0
30.00 0.00 -7.32 0.0 1.0
35.00 0.00 -6.61 0.0 1.0
40.00 0.00 -6.04 0.0 1.0
45.00 0.00 -5.62 0.5 0.5
50.00 0.00 -5.35 0.5 0.5
55.00 0.00 -5.26 0.5 0.5
60.00 0.00 -5.37 0.5 0.5
65.00 0.00 -5.74 0.5 0.5
70.00 0.00 -6.44 0.5 0.5
75.00 0.00 -7.66 0.5 0.5
80.00 0.00 -9.85 0.5 0.5
85.00 0.00 -14.46 0.5 0.5
0.00 10.00 -13.47 0.0 1.0
5.00 10.00 -12.52 0.0 1.0
10.00 10.00 -11.52 0.0 1.0
15.00 10.00 -10.53 0.0 1.0
20.00 10.00 -9.58 0.0 1.0
25.00 10.00 -8.71 0.0 1.0
30.00 10.00 -7.94 0.0 1.0
35.00 10.00 -7.29 0.0 1.0
40.00 10.00 -6.76 0.0 1.0
45.00 10.00 -6.37 0.5 0.5
50.00 10.00 -6.13 0.5 0.5
55.00 10.00 -6.06 0.5 0.5
60.00 10.00 -6.18 0.5 0.5
65.00 10.00 -6.55 0.5 0.5
70.00 10.00 -7.26 0.5 0.5
75.00 10.00 -8.50 0.5 0.5
80.00 10.00 -10.69 0.5 0.5
85.00 10.00 -15.32 0.5 0.5
0.00 20.00 -13.47 0.0 1.0
5.00 20.00 -12.64 0.0 1.0
10.00 20.00 -11.77 0.0 1.0
15.00 20.00 -10.92 0.0 1.0
20.00 20.00 -10.10 0.0 1.0
25.00 20.00 -9.34 0.0 1.0
30.00 20.00 -8.67 0.0 1.0
35.00 20.00 -8.09 0.0 1.0
40.00 20.00 -7.63 0.0 1.0
45.00 20.00 -7.29 0.5 0.5
50.00 20.00 -7.09 0.5 0.5
55.00 20.00 -7.05 0.5 0.5
60.00 20.00 -7.21 0.5 0.5
65.00 20.00 -7.60 0.5 0.5
70.00 20.00 -8.33 0.5 0.5
75.00 20.00 -9.58 0.5 0.5
80.00 20.00 -11.79 0.5 0.5
85.00 20.00 -16.42 0.5 0.5
0.00 30.00 -13.47 0.0 1.0
5.00 30.00 -12.77 0.0 1.0
10.00 30.00 -12.06 0.0 1.0
15.00 30.00 -11.35 0.0 1.0
20.00 30.00 -10.66 0.0 1.0
25.00 30.00 -10.03 0.0 1.0
30.00 30.00 -9.46 0.0 1.0
35.00 30.00 -8.98 0.0 1.0
40.00 30.00 -8.60 0.0 1.0
45.00 30.00 -8.33 0.5 0.5
50.00 30.00 -8.20 0.5 0.5
55.00 30.00 -8.21 0.5 0.5
60.00 30.00 -8.41 0.5 0.5
65.00 30.00 -8.84 0.5 0.5
70.00 30.00 -9.60 0.5 0.5
75.00 30.00 -10.87 0.5 0.5
80.00 30.00 -13.10 0.5 0.5
85.00 30.00 -17.75 0.5 0.5
0.00 40.00 -13.47 0.0 1.0
5.00 40.00 -12.92 0.0 1.0
10.00 40.00 -12.36 0.0 1.0
15.00 40.00 -11.79 0.0 1.0
20.00 40.00 -11.24 0.0 1.0
25.00 40.00 -10.73 0.0 1.0
30.00 40.00 -10.27 0.0 1.0
35.00 40.00 -9.90 0.0 1.0
40.00 40.00 -9.61 0.0 1.0
45.00 40.00 -9.43 0.5 0.5
50.00 40.00 -9.37 0.5 0.5
55.00 40.00 -9.45 0.5 0.5
60.00 40.00 -9.70 0.5 0.5
65.00 40.00 -10.19 0.5 0.5
70.00 40.00 -10.99 0.5 0.5
75.00 40.00 -12.29 0.5 0.5
80.00 40.00 -14.54 0.5 0.5
85.00 40.00 -19.20 0.5 0.5
0.00 50.00 -13.47 0.0 1.0
5.00 50.00 -13.08 0.0 1.0
10.00 50.00 -12.66 0.0 1.0
15.00 50.00 -12.22 0.0 1.0
20.00 50.00 -11.80 0.0 1.0
25.00 50.00 -11.40 0.0 1.0
30.00 50.00 -11.06 0.0 1.0
35.00 50.00 -10.79 0.0 1.0
40.00 50.00 -10.60 0.0 1.0
45.00 50.00 -10.51 0.5 0.5
50.00 50.00 -10.53 0.5 0.5
55.00 50.00 -10.69 0.5 0.5
60.00 50.00 -11.01 0.5 0.5
65.00 50.00 -11.54 0.5 0.5
70.00 50.00 -12.39 0.5 0.5
75.00 50.00 -13.72 0.5 0.5
80.00 50.00 -15.99 0.5 0.5
85.00 50.00 -20.65 0.5 0.5
0.00 60.00 -13.47 0.0 1.0
5.00 60.00 -13.25 0.0 1.0
10.00 60.00 -12.96 0.0 1.0
15.00 60.00 -12.64 0.0 1.0
20.00 60.00 -12.33 0.0 1.0
