# FGCom-mumble Far-Field Radiation Pattern
# Frequency: 36.0 MHz
# Altitude: 0 m
# Format: Theta Phi Gain_dBi H_Polarization V_Polarization
# Theta: Elevation angle (0-180 degrees)
# Phi: Azimuth angle (0-360 degrees)
# Gain: Antenna gain in dBi
# H_Polarization: Horizontal polarization component
# V_Polarization: Vertical polarization component
0.00 0.00 -4.85 0.0 1.0
5.00 0.00 -4.08 0.0 1.0
10.00 0.00 -3.51 0.0 1.0
15.00 0.00 -3.14 0.0 1.0
20.00 0.00 -2.95 0.0 1.0
25.00 0.00 -2.94 0.0 1.0
30.00 0.00 -3.09 0.0 1.0
35.00 0.00 -3.39 0.0 1.0
40.00 0.00 -3.80 0.0 1.0
45.00 0.00 -4.31 0.5 0.5
50.00 0.00 -4.87 0.5 0.5
55.00 0.00 -5.46 0.5 0.5
60.00 0.00 -6.08 0.5 0.5
65.00 0.00 -6.76 0.5 0.5
70.00 0.00 -7.63 0.5 0.5
75.00 0.00 -8.90 0.5 0.5
80.00 0.00 -11.08 0.5 0.5
85.00 0.00 -15.66 0.5 0.5
0.00 10.00 -4.85 0.0 1.0
5.00 10.00 -4.10 0.0 1.0
10.00 10.00 -3.54 0.0 1.0
15.00 10.00 -3.17 0.0 1.0
20.00 10.00 -2.97 0.0 1.0
25.00 10.00 -2.94 0.0 1.0
30.00 10.00 -3.05 0.0 1.0
35.00 10.00 -3.30 0.0 1.0
40.00 10.00 -3.64 0.0 1.0
45.00 10.00 -4.07 0.5 0.5
50.00 10.00 -4.53 0.5 0.5
55.00 10.00 -5.03 0.5 0.5
60.00 10.00 -5.56 0.5 0.5
65.00 10.00 -6.18 0.5 0.5
70.00 10.00 -7.00 0.5 0.5
75.00 10.00 -8.25 0.5 0.5
80.00 10.00 -10.41 0.5 0.5
85.00 10.00 -14.98 0.5 0.5
0.00 20.00 -4.85 0.0 1.0
5.00 20.00 -4.14 0.0 1.0
10.00 20.00 -3.60 0.0 1.0
15.00 20.00 -3.23 0.0 1.0
20.00 20.00 -3.01 0.0 1.0
25.00 20.00 -2.94 0.0 1.0
30.00 20.00 -2.99 0.0 1.0
35.00 20.00 -3.16 0.0 1.0
40.00 20.00 -3.42 0.0 1.0
45.00 20.00 -3.75 0.5 0.5
50.00 20.00 -4.12 0.5 0.5
55.00 20.00 -4.53 0.5 0.5
60.00 20.00 -4.99 0.5 0.5
65.00 20.00 -5.57 0.5 0.5
70.00 20.00 -6.38 0.5 0.5
75.00 20.00 -7.63 0.5 0.5
80.00 20.00 -9.81 0.5 0.5
85.00 20.00 -14.38 0.5 0.5
0.00 30.00 -4.85 0.0 1.0
5.00 30.00 -4.19 0.0 1.0
10.00 30.00 -3.68 0.0 1.0
15.00 30.00 -3.31 0.0 1.0
20.00 30.00 -3.07 0.0 1.0
25.00 30.00 -2.95 0.0 1.0
30.00 30.00 -2.94 0.0 1.0
35.00 30.00 -3.03 0.0 1.0
40.00 30.00 -3.19 0.0 1.0
45.00 30.00 -3.41 0.5 0.5
50.00 30.00 -3.69 0.5 0.5
55.00 30.00 -4.02 0.5 0.5
60.00 30.00 -4.44 0.5 0.5
65.00 30.00 -4.99 0.5 0.5
70.00 30.00 -5.79 0.5 0.5
75.00 30.00 -7.06 0.5 0.5
80.00 30.00 -9.24 0.5 0.5
85.00 30.00 -13.83 0.5 0.5
0.00 40.00 -4.85 0.0 1.0
5.00 40.00 -4.27 0.0 1.0
10.00 40.00 -3.80 0.0 1.0
15.00 40.00 -3.44 0.0 1.0
20.00 40.00 -3.17 0.0 1.0
25.00 40.00 -3.01 0.0 1.0
30.00 40.00 -2.93 0.0 1.0
35.00 40.00 -2.93 0.0 1.0
40.00 40.00 -3.00 0.0 1.0
45.00 40.00 -3.13 0.5 0.5
50.00 40.00 -3.32 0.5 0.5
55.00 40.00 -3.58 0.5 0.5
60.00 40.00 -3.95 0.5 0.5
65.00 40.00 -4.48 0.5 0.5
70.00 40.00 -5.28 0.5 0.5
75.00 40.00 -6.55 0.5 0.5
80.00 40.00 -8.75 0.5 0.5
85.00 40.00 -13.36 0.5 0.5
0.00 50.00 -4.85 0.0 1.0
5.00 50.00 -4.36 0.0 1.0
10.00 50.00 -3.95 0.0 1.0
15.00 50.00 -3.60 0.0 1.0
20.00 50.00 -3.33 0.0 1.0
25.00 50.00 -3.13 0.0 1.0
30.00 50.00 -2.99 0.0 1.0
35.00 50.00 -2.92 0.0 1.0
40.00 50.00 -2.90 0.0 1.0
45.00 50.00 -2.95 0.5 0.5
50.00 50.00 -3.07 0.5 0.5
55.00 50.00 -3.28 0.5 0.5
60.00 50.00 -3.60 0.5 0.5
65.00 50.00 -4.11 0.5 0.5
70.00 50.00 -4.91 0.5 0.5
75.00 50.00 -6.18 0.5 0.5
80.00 50.00 -8.40 0.5 0.5
85.00 50.00 -13.02 0.5 0.5
0.00 60.00 -4.85 0.0 1.0
5.00 60.00 -4.48 0.0 1.0
10.00 60.00 -4.13 0.0 1.0
15.00 60.00 -3.82 0.0 1.0
20.00 60.00 -3.55 0.0 1.0
25.00 60.00 -3.33 0.0 1.0
30.00 60.00 -3.15 0.0 1.0
35.00 60.00 -3.02 0.0 1.0
40.00 60.00 -2.94 0.0 1.0
45.00 60.00 -2.92 0.5 0.5
50.00 60.00 -2.98 0.5 0.5
55.00 60.00 -3.14 0.5 0.5
60.00 60.00 -3.44 0.5 0.5
65.00 60.00 -3.92 0.5 0.5
70.00 60.00 -4.71 0.5 0.5
75.00 60.00 -5.98 0.5 0.5
80.00 60.00 -8.20 0.5 0.5
85.00 60.00 -12.83 0.5 0.5
0.00 70.00 -4.85 0.0 1.0
5.00 70.00 -4.60 0.0 1.0
10.00 70.00 -4.34 0.0 1.0
15.00 70.00 -4.09 0.0 1.0
20.00 70.00 -3.85 0.0 1.0
25.00 70.00 -3.62 0.0 1.0
30.00 70.00 -3.42 0.0 1.0
35.00 70.00 -3.25 0.0 1.0
40.00 70.00 -3.13 0.0 1.0
45.00 70.00 -3.07 0.5 0.5
