# FGCom-mumble Far-Field Radiation Pattern
# Frequency: 36.0 MHz
# Altitude: 0 m
# Format: Theta Phi Gain_dBi H_Polarization V_Polarization
# Theta: Elevation angle (0-180 degrees)
# Phi: Azimuth angle (0-360 degrees)
# Gain: Antenna gain in dBi
# H_Polarization: Horizontal polarization component
# V_Polarization: Vertical polarization component
0.00 0.00 -7.53 0.0 1.0
5.00 0.00 -7.64 0.0 1.0
10.00 0.00 -7.76 0.0 1.0
15.00 0.00 -7.91 0.0 1.0
20.00 0.00 -8.09 0.0 1.0
25.00 0.00 -8.33 0.0 1.0
30.00 0.00 -8.61 0.0 1.0
35.00 0.00 -8.96 0.0 1.0
40.00 0.00 -9.39 0.0 1.0
45.00 0.00 -9.89 0.5 0.5
50.00 0.00 -10.49 0.5 0.5
55.00 0.00 -11.20 0.5 0.5
60.00 0.00 -12.06 0.5 0.5
65.00 0.00 -13.13 0.5 0.5
70.00 0.00 -14.50 0.5 0.5
75.00 0.00 -16.36 0.5 0.5
80.00 0.00 -19.16 0.5 0.5
85.00 0.00 -24.33 0.5 0.5
0.00 10.00 -7.53 0.0 1.0
5.00 10.00 -7.72 0.0 1.0
10.00 10.00 -7.93 0.0 1.0
15.00 10.00 -8.16 0.0 1.0
20.00 10.00 -8.43 0.0 1.0
25.00 10.00 -8.73 0.0 1.0
30.00 10.00 -9.07 0.0 1.0
35.00 10.00 -9.46 0.0 1.0
40.00 10.00 -9.89 0.0 1.0
45.00 10.00 -10.38 0.5 0.5
50.00 10.00 -10.93 0.5 0.5
55.00 10.00 -11.56 0.5 0.5
60.00 10.00 -12.30 0.5 0.5
65.00 10.00 -13.20 0.5 0.5
70.00 10.00 -14.38 0.5 0.5
75.00 10.00 -16.03 0.5 0.5
80.00 10.00 -18.60 0.5 0.5
85.00 10.00 -23.56 0.5 0.5
0.00 20.00 -7.53 0.0 1.0
5.00 20.00 -7.80 0.0 1.0
10.00 20.00 -8.11 0.0 1.0
15.00 20.00 -8.46 0.0 1.0
20.00 20.00 -8.84 0.0 1.0
25.00 20.00 -9.26 0.0 1.0
30.00 20.00 -9.70 0.0 1.0
35.00 20.00 -10.17 0.0 1.0
40.00 20.00 -10.65 0.0 1.0
45.00 20.00 -11.14 0.5 0.5
50.00 20.00 -11.65 0.5 0.5
55.00 20.00 -12.18 0.5 0.5
60.00 20.00 -12.79 0.5 0.5
65.00 20.00 -13.53 0.5 0.5
70.00 20.00 -14.52 0.5 0.5
75.00 20.00 -15.98 0.5 0.5
80.00 20.00 -18.37 0.5 0.5
85.00 20.00 -23.18 0.5 0.5
0.00 30.00 -7.53 0.0 1.0
5.00 30.00 -7.89 0.0 1.0
10.00 30.00 -8.31 0.0 1.0
15.00 30.00 -8.79 0.0 1.0
20.00 30.00 -9.33 0.0 1.0
25.00 30.00 -9.91 0.0 1.0
30.00 30.00 -10.50 0.0 1.0
35.00 30.00 -11.09 0.0 1.0
40.00 30.00 -11.65 0.0 1.0
45.00 30.00 -12.16 0.5 0.5
50.00 30.00 -12.62 0.5 0.5
55.00 30.00 -13.06 0.5 0.5
60.00 30.00 -13.52 0.5 0.5
65.00 30.00 -14.09 0.5 0.5
70.00 30.00 -14.92 0.5 0.5
75.00 30.00 -16.23 0.5 0.5
80.00 30.00 -18.49 0.5 0.5
85.00 30.00 -23.19 0.5 0.5
0.00 40.00 -7.53 0.0 1.0
