# FGCom-mumble Far-Field Radiation Pattern
# Frequency: 36.0 MHz
# Altitude: 0 m
# Format: Theta Phi Gain_dBi H_Polarization V_Polarization
# Theta: Elevation angle (0-180 degrees)
# Phi: Azimuth angle (0-360 degrees)
# Gain: Antenna gain in dBi
# H_Polarization: Horizontal polarization component
# V_Polarization: Vertical polarization component
0.00 0.00 -13.98 0.0 1.0
5.00 0.00 -16.44 0.0 1.0
10.00 0.00 -18.45 0.0 1.0
15.00 0.00 -15.46 0.0 1.0
20.00 0.00 -10.85 0.0 1.0
25.00 0.00 -7.12 0.0 1.0
30.00 0.00 -4.21 0.0 1.0
35.00 0.00 -1.89 0.0 1.0
40.00 0.00 -0.02 0.0 1.0
45.00 0.00 1.47 0.5 0.5
50.00 0.00 2.62 0.5 0.5
55.00 0.00 3.46 0.5 0.5
60.00 0.00 3.98 0.5 0.5
65.00 0.00 4.16 0.5 0.5
70.00 0.00 3.90 0.5 0.5
75.00 0.00 3.03 0.5 0.5
80.00 0.00 1.12 0.5 0.5
85.00 0.00 -3.31 0.5 0.5
0.00 10.00 -13.98 0.0 1.0
5.00 10.00 -16.29 0.0 1.0
10.00 10.00 -17.84 0.0 1.0
15.00 10.00 -14.90 0.0 1.0
20.00 10.00 -10.54 0.0 1.0
25.00 10.00 -6.94 0.0 1.0
30.00 10.00 -4.09 0.0 1.0
35.00 10.00 -1.80 0.0 1.0
40.00 10.00 0.06 0.0 1.0
45.00 10.00 1.54 0.5 0.5
50.00 10.00 2.70 0.5 0.5
55.00 10.00 3.55 0.5 0.5
60.00 10.00 4.08 0.5 0.5
65.00 10.00 4.27 0.5 0.5
70.00 10.00 4.02 0.5 0.5
75.00 10.00 3.16 0.5 0.5
80.00 10.00 1.26 0.5 0.5
85.00 10.00 -3.16 0.5 0.5
0.00 20.00 -13.98 0.0 1.0
5.00 20.00 -16.05 0.0 1.0
10.00 20.00 -17.13 0.0 1.0
15.00 20.00 -14.40 0.0 1.0
20.00 20.00 -10.38 0.0 1.0
25.00 20.00 -6.92 0.0 1.0
30.00 20.00 -4.13 0.0 1.0
35.00 20.00 -1.87 0.0 1.0
40.00 20.00 -0.02 0.0 1.0
45.00 20.00 1.48 0.5 0.5
50.00 20.00 2.65 0.5 0.5
55.00 20.00 3.52 0.5 0.5
60.00 20.00 4.08 0.5 0.5
65.00 20.00 4.29 0.5 0.5
70.00 20.00 4.06 0.5 0.5
75.00 20.00 3.22 0.5 0.5
80.00 20.00 1.33 0.5 0.5
85.00 20.00 -3.08 0.5 0.5
0.00 30.00 -13.98 0.0 1.0
5.00 30.00 -15.74 0.0 1.0
