# FGCom-mumble Far-Field Radiation Pattern
# Frequency: 36.0 MHz
# Altitude: 0 m
# Format: Theta Phi Gain_dBi H_Polarization V_Polarization
# Theta: Elevation angle (0-180 degrees)
# Phi: Azimuth angle (0-360 degrees)
# Gain: Antenna gain in dBi
# H_Polarization: Horizontal polarization component
# V_Polarization: Vertical polarization component
0.00 0.00 8.24 0.0 1.0
5.00 0.00 7.72 0.0 1.0
10.00 0.00 7.20 0.0 1.0
15.00 0.00 6.68 0.0 1.0
20.00 0.00 6.16 0.0 1.0
25.00 0.00 5.67 0.0 1.0
30.00 0.00 5.21 0.0 1.0
35.00 0.00 4.79 0.0 1.0
40.00 0.00 4.43 0.0 1.0
45.00 0.00 4.13 0.5 0.5
50.00 0.00 3.84 0.5 0.5
55.00 0.00 3.52 0.5 0.5
60.00 0.00 3.09 0.5 0.5
65.00 0.00 2.43 0.5 0.5
70.00 0.00 1.40 0.5 0.5
75.00 0.00 -0.23 0.5 0.5
80.00 0.00 -2.93 0.5 0.5
85.00 0.00 -8.20 0.5 0.5
0.00 10.00 8.24 0.0 1.0
5.00 10.00 7.72 0.0 1.0
10.00 10.00 7.18 0.0 1.0
15.00 10.00 6.62 0.0 1.0
20.00 10.00 6.04 0.0 1.0
25.00 10.00 5.47 0.0 1.0
30.00 10.00 4.91 0.0 1.0
35.00 10.00 4.40 0.0 1.0
40.00 10.00 3.97 0.0 1.0
45.00 10.00 3.63 0.5 0.5
50.00 10.00 3.35 0.5 0.5
55.00 10.00 3.08 0.5 0.5
60.00 10.00 2.72 0.5 0.5
65.00 10.00 2.14 0.5 0.5
70.00 10.00 1.21 0.5 0.5
75.00 10.00 -0.34 0.5 0.5
80.00 10.00 -2.97 0.5 0.5
85.00 10.00 -8.15 0.5 0.5
0.00 20.00 8.24 0.0 1.0
5.00 20.00 7.73 0.0 1.0
10.00 20.00 7.19 0.0 1.0
15.00 20.00 6.61 0.0 1.0
20.00 20.00 5.99 0.0 1.0
25.00 20.00 5.34 0.0 1.0
30.00 20.00 4.69 0.0 1.0
35.00 20.00 4.08 0.0 1.0
40.00 20.00 3.55 0.0 1.0
45.00 20.00 3.13 0.5 0.5
50.00 20.00 2.81 0.5 0.5
55.00 20.00 2.54 0.5 0.5
60.00 20.00 2.22 0.5 0.5
65.00 20.00 1.71 0.5 0.5
70.00 20.00 0.83 0.5 0.5
75.00 20.00 -0.64 0.5 0.5
80.00 20.00 -3.18 0.5 0.5
85.00 20.00 -8.29 0.5 0.5
0.00 30.00 8.24 0.0 1.0
5.00 30.00 7.76 0.0 1.0
10.00 30.00 7.24 0.0 1.0
15.00 30.00 6.66 0.0 1.0
20.00 30.00 6.02 0.0 1.0
25.00 30.00 5.33 0.0 1.0
30.00 30.00 4.60 0.0 1.0
35.00 30.00 3.88 0.0 1.0
40.00 30.00 3.22 0.0 1.0
45.00 30.00 2.67 0.5 0.5
50.00 30.00 2.24 0.5 0.5
55.00 30.00 1.90 0.5 0.5
60.00 30.00 1.54 0.5 0.5
65.00 30.00 1.03 0.5 0.5
70.00 30.00 0.20 0.5 0.5
75.00 30.00 -1.21 0.5 0.5
80.00 30.00 -3.69 0.5 0.5
85.00 30.00 -8.70 0.5 0.5
0.00 40.00 8.24 0.0 1.0
5.00 40.00 7.81 0.0 1.0
10.00 40.00 7.32 0.0 1.0
15.00 40.00 6.76 0.0 1.0
20.00 40.00 6.13 0.0 1.0
25.00 40.00 5.43 0.0 1.0
30.00 40.00 4.67 0.0 1.0
35.00 40.00 3.87 0.0 1.0
40.00 40.00 3.09 0.0 1.0
45.00 40.00 2.36 0.5 0.5
50.00 40.00 1.73 0.5 0.5
55.00 40.00 1.20 0.5 0.5
60.00 40.00 0.71 0.5 0.5
65.00 40.00 0.13 0.5 0.5
70.00 40.00 -0.73 0.5 0.5
75.00 40.00 -2.11 0.5 0.5
80.00 40.00 -4.51 0.5 0.5
85.00 40.00 -9.43 0.5 0.5
0.00 50.00 8.24 0.0 1.0
5.00 50.00 7.86 0.0 1.0
10.00 50.00 7.43 0.0 1.0
15.00 50.00 6.92 0.0 1.0
20.00 50.00 6.34 0.0 1.0
25.00 50.00 5.67 0.0 1.0
30.00 50.00 4.92 0.0 1.0
35.00 50.00 4.10 0.0 1.0
40.00 50.00 3.23 0.0 1.0
45.00 50.00 2.34 0.5 0.5
50.00 50.00 1.49 0.5 0.5
55.00 50.00 0.69 0.5 0.5
60.00 50.00 -0.07 0.5 0.5
65.00 50.00 -0.86 0.5 0.5
70.00 50.00 -1.83 0.5 0.5
75.00 50.00 -3.25 0.5 0.5
80.00 50.00 -5.63 0.5 0.5
85.00 50.00 -10.47 0.5 0.5
0.00 60.00 8.24 0.0 1.0
5.00 60.00 7.93 0.0 1.0
10.00 60.00 7.57 0.0 1.0
15.00 60.00 7.13 0.0 1.0
20.00 60.00 6.62 0.0 1.0
25.00 60.00 6.02 0.0 1.0
30.00 60.00 5.33 0.0 1.0
35.00 60.00 4.55 0.0 1.0
40.00 60.00 3.69 0.0 1.0
45.00 60.00 2.74 0.5 0.5
50.00 60.00 1.74 0.5 0.5
55.00 60.00 0.70 0.5 0.5
60.00 60.00 -0.36 0.5 0.5
65.00 60.00 -1.47 0.5 0.5
70.00 60.00 -2.72 0.5 0.5
75.00 60.00 -4.33 0.5 0.5
80.00 60.00 -6.80 0.5 0.5
85.00 60.00 -11.64 0.5 0.5
0.00 70.00 8.24 0.0 1.0
5.00 70.00 8.01 0.0 1.0
10.00 70.00 7.73 0.0 1.0
15.00 70.00 7.39 0.0 1.0
20.00 70.00 6.97 0.0 1.0
25.00 70.00 6.47 0.0 1.0
30.00 70.00 5.89 0.0 1.0
35.00 70.00 5.21 0.0 1.0
40.00 70.00 4.42 0.0 1.0
45.00 70.00 3.53 0.5 0.5
50.00 70.00 2.54 0.5 0.5
55.00 70.00 1.42 0.5 0.5
60.00 70.00 0.20 0.5 0.5
65.00 70.00 -1.17 0.5 0.5
70.00 70.00 -2.73 0.5 0.5
75.00 70.00 -4.65 0.5 0.5
80.00 70.00 -7.39 0.5 0.5
85.00 70.00 -12.43 0.5 0.5
0.00 80.00 8.24 0.0 1.0
5.00 80.00 8.10 0.0 1.0
10.00 80.00 7.92 0.0 1.0
15.00 80.00 7.67 0.0 1.0
20.00 80.00 7.37 0.0 1.0
25.00 80.00 6.98 0.0 1.0
30.00 80.00 6.52 0.0 1.0
35.00 80.00 5.97 0.0 1.0
40.00 80.00 5.32 0.0 1.0
45.00 80.00 4.57 0.5 0.5
50.00 80.00 3.68 0.5 0.5
55.00 80.00 2.66 0.5 0.5
60.00 80.00 1.46 0.5 0.5
65.00 80.00 0.07 0.5 0.5
70.00 80.00 -1.62 0.5 0.5
75.00 80.00 -3.75 0.5 0.5
80.00 80.00 -6.75 0.5 0.5
85.00 80.00 -12.07 0.5 0.5
0.00 90.00 8.24 0.0 1.0
5.00 90.00 8.19 0.0 1.0
10.00 90.00 8.11 0.0 1.0
15.00 90.00 7.97 0.0 1.0
20.00 90.00 7.78 0.0 1.0
25.00 90.00 7.52 0.0 1.0
30.00 90.00 7.19 0.0 1.0
35.00 90.00 6.78 0.0 1.0
40.00 90.00 6.28 0.0 1.0
45.00 90.00 5.67 0.5 0.5
50.00 90.00 4.93 0.5 0.5
55.00 90.00 4.05 0.5 0.5
60.00 90.00 2.99 0.5 0.5
65.00 90.00 1.70 0.5 0.5
70.00 90.00 0.07 0.5 0.5
75.00 90.00 -2.05 0.5 0.5
80.00 90.00 -5.11 0.5 0.5
85.00 90.00 -10.53 0.5 0.5
0.00 100.00 8.24 0.0 1.0
5.00 100.00 8.29 0.0 1.0
10.00 100.00 8.30 0.0 1.0
15.00 100.00 8.28 0.0 1.0
20.00 100.00 8.20 0.0 1.0
25.00 100.00 8.06 0.0 1.0
30.00 100.00 7.85 0.0 1.0
35.00 100.00 7.56 0.0 1.0
40.00 100.00 7.19 0.0 1.0
45.00 100.00 6.71 0.5 0.5
50.00 100.00 6.12 0.5 0.5
55.00 100.00 5.38 0.5 0.5
60.00 100.00 4.46 0.5 0.5
65.00 100.00 3.29 0.5 0.5
70.00 100.00 1.79 0.5 0.5
75.00 100.00 -0.24 0.5 0.5
80.00 100.00 -3.21 0.5 0.5
85.00 100.00 -8.57 0.5 0.5
0.00 110.00 8.24 0.0 1.0
5.00 110.00 8.38 0.0 1.0
10.00 110.00 8.49 0.0 1.0
15.00 110.00 8.57 0.0 1.0
20.00 110.00 8.59 0.0 1.0
25.00 110.00 8.56 0.0 1.0
30.00 110.00 8.46 0.0 1.0
35.00 110.00 8.28 0.0 1.0
40.00 110.00 8.02 0.0 1.0
45.00 110.00 7.65 0.5 0.5
50.00 110.00 7.17 0.5 0.5
55.00 110.00 6.54 0.5 0.5
60.00 110.00 5.73 0.5 0.5
65.00 110.00 4.68 0.5 0.5
70.00 110.00 3.29 0.5 0.5
75.00 110.00 1.39 0.5 0.5
80.00 110.00 -1.47 0.5 0.5
85.00 110.00 -6.72 0.5 0.5
0.00 120.00 8.24 0.0 1.0
5.00 120.00 8.47 0.0 1.0
10.00 120.00 8.67 0.0 1.0
15.00 120.00 8.84 0.0 1.0
20.00 120.00 8.96 0.0 1.0
25.00 120.00 9.02 0.0 1.0
30.00 120.00 9.00 0.0 1.0
35.00 120.00 8.91 0.0 1.0
40.00 120.00 8.73 0.0 1.0
45.00 120.00 8.45 0.5 0.5
50.00 120.00 8.04 0.5 0.5
55.00 120.00 7.50 0.5 0.5
60.00 120.00 6.78 0.5 0.5
65.00 120.00 5.82 0.5 0.5
70.00 120.00 4.54 0.5 0.5
75.00 120.00 2.74 0.5 0.5
80.00 120.00 0.00 0.5 0.5
85.00 120.00 -5.13 0.5 0.5
0.00 130.00 8.24 0.0 1.0
5.00 130.00 8.54 0.0 1.0
10.00 130.00 8.83 0.0 1.0
15.00 130.00 9.08 0.0 1.0
