# FGCom-mumble Far-Field Radiation Pattern
# Frequency: 15.0 MHz
# Antenna: T-55 Soviet MBT - Primary VHF-FM R-123M Tactical Whip
# Vehicle: Soviet Main Battle Tank (Warsaw Pact standard)
# Height: 2.5m above ground (turret-mounted)
# Ground Plane: Steel armor hull (Soviet grade steel)
# Type: Soviet HF Command (R-130)
# Format: Theta Phi Gain_dBi H_Polarization V_Polarization
# Theta: Elevation angle (0-180 degrees)
# Phi: Azimuth angle (0-360 degrees)
# Gain: Antenna gain in dBi
# H_Polarization: Horizontal polarization component
# V_Polarization: Vertical polarization component
0 0 1.43 0.1 0.9
0 10 1.43 0.1 0.9
0 20 1.43 0.1 0.9
0 30 1.43 0.1 0.9
0 40 1.43 0.1 0.9
0 50 1.43 0.1 0.9
0 60 1.43 0.1 0.9
0 70 1.43 0.1 0.9
0 80 1.43 0.1 0.9
0 90 1.43 0.1 0.9
0 100 1.43 0.1 0.9
0 110 1.43 0.1 0.9
0 120 1.43 0.1 0.9
0 130 1.43 0.1 0.9
0 140 1.43 0.1 0.9
0 150 1.43 0.1 0.9
0 160 1.43 0.1 0.9
0 170 1.43 0.1 0.9
0 180 1.43 0.1 0.9
0 190 1.43 0.1 0.9
0 200 1.43 0.1 0.9
0 210 1.43 0.1 0.9
0 220 1.43 0.1 0.9
0 230 1.43 0.1 0.9
0 240 1.43 0.1 0.9
0 250 1.43 0.1 0.9
0 260 1.43 0.1 0.9
0 270 1.43 0.1 0.9
0 280 1.43 0.1 0.9
0 290 1.43 0.1 0.9
0 300 1.43 0.1 0.9
0 310 1.43 0.1 0.9
0 320 1.43 0.1 0.9
0 330 1.43 0.1 0.9
0 340 1.43 0.1 0.9
0 350 1.43 0.1 0.9
5 0 1.43 0.1 0.9
5 10 1.43 0.1 0.9
5 20 1.43 0.1 0.9
5 30 1.43 0.1 0.9
5 40 1.43 0.1 0.9
5 50 1.43 0.1 0.9
5 60 1.43 0.1 0.9
5 70 1.43 0.1 0.9
5 80 1.43 0.1 0.9
5 90 1.43 0.1 0.9
5 100 1.43 0.1 0.9
5 110 1.43 0.1 0.9
5 120 1.43 0.1 0.9
5 130 1.43 0.1 0.9
5 140 1.43 0.1 0.9
