# FGCom-mumble Far-Field Radiation Pattern
# Frequency: 125 MHz
# Altitude: 0 m
# Format: Theta Phi Gain_dBi H_Polarization V_Polarization
# Theta: Elevation angle (0-180 degrees)
# Phi: Azimuth angle (0-360 degrees)
# Gain: Antenna gain in dBi
# H_Polarization: Horizontal polarization component
# V_Polarization: Vertical polarization component
0.00 0.00 -20.50 0.0 1.0
5.00 0.00 -20.85 0.0 1.0
10.00 0.00 -20.64 0.0 1.0
15.00 0.00 -19.72 0.0 1.0
20.00 0.00 -18.22 0.0 1.0
25.00 0.00 -16.46 0.0 1.0
30.00 0.00 -14.70 0.0 1.0
35.00 0.00 -13.08 0.0 1.0
40.00 0.00 -11.65 0.0 1.0
45.00 0.00 -10.42 0.5 0.5
50.00 0.00 -9.41 0.5 0.5
55.00 0.00 -8.61 0.5 0.5
60.00 0.00 -8.03 0.5 0.5
65.00 0.00 -7.70 0.5 0.5
70.00 0.00 -7.68 0.5 0.5
75.00 0.00 -8.11 0.5 0.5
80.00 0.00 -9.35 0.5 0.5
85.00 0.00 -12.77 0.5 0.5
0.00 10.00 -20.50 0.0 1.0
5.00 10.00 -20.92 0.0 1.0
10.00 10.00 -20.70 0.0 1.0
15.00 10.00 -19.71 0.0 1.0
20.00 10.00 -18.13 0.0 1.0
25.00 10.00 -16.33 0.0 1.0
30.00 10.00 -14.56 0.0 1.0
35.00 10.00 -12.94 0.0 1.0
40.00 10.00 -11.52 0.0 1.0
45.00 10.00 -10.31 0.5 0.5
50.00 10.00 -9.30 0.5 0.5
55.00 10.00 -8.51 0.5 0.5
60.00 10.00 -7.95 0.5 0.5
65.00 10.00 -7.63 0.5 0.5
70.00 10.00 -7.61 0.5 0.5
75.00 10.00 -8.04 0.5 0.5
80.00 10.00 -9.29 0.5 0.5
85.00 10.00 -12.71 0.5 0.5
0.00 20.00 -20.50 0.0 1.0
5.00 20.00 -20.92 0.0 1.0
10.00 20.00 -20.55 0.0 1.0
15.00 20.00 -19.36 0.0 1.0
20.00 20.00 -17.68 0.0 1.0
25.00 20.00 -15.88 0.0 1.0
30.00 20.00 -14.15 0.0 1.0
35.00 20.00 -12.59 0.0 1.0
40.00 20.00 -11.23 0.0 1.0
45.00 20.00 -10.07 0.5 0.5
50.00 20.00 -9.11 0.5 0.5
55.00 20.00 -8.36 0.5 0.5
60.00 20.00 -7.82 0.5 0.5
65.00 20.00 -7.52 0.5 0.5
70.00 20.00 -7.53 0.5 0.5
75.00 20.00 -7.97 0.5 0.5
80.00 20.00 -9.23 0.5 0.5
85.00 20.00 -12.65 0.5 0.5
0.00 30.00 -20.50 0.0 1.0
5.00 30.00 -20.85 0.0 1.0
10.00 30.00 -20.23 0.0 1.0
15.00 30.00 -18.80 0.0 1.0
20.00 30.00 -17.03 0.0 1.0
25.00 30.00 -15.24 0.0 1.0
30.00 30.00 -13.59 0.0 1.0
35.00 30.00 -12.13 0.0 1.0
40.00 30.00 -10.85 0.0 1.0
45.00 30.00 -9.77 0.5 0.5
50.00 30.00 -8.87 0.5 0.5
55.00 30.00 -8.17 0.5 0.5
60.00 30.00 -7.67 0.5 0.5
65.00 30.00 -7.41 0.5 0.5
70.00 30.00 -7.44 0.5 0.5
75.00 30.00 -7.90 0.5 0.5
80.00 30.00 -9.17 0.5 0.5
85.00 30.00 -12.60 0.5 0.5
0.00 40.00 -20.50 0.0 1.0
5.00 40.00 -20.74 0.0 1.0
10.00 40.00 -19.82 0.0 1.0
15.00 40.00 -18.16 0.0 1.0
20.00 40.00 -16.33 0.0 1.0
25.00 40.00 -14.58 0.0 1.0
30.00 40.00 -13.01 0.0 1.0
35.00 40.00 -11.63 0.0 1.0
40.00 40.00 -10.45 0.0 1.0
45.00 40.00 -9.44 0.5 0.5
50.00 40.00 -8.62 0.5 0.5
55.00 40.00 -7.98 0.5 0.5
60.00 40.00 -7.53 0.5 0.5
65.00 40.00 -7.30 0.5 0.5
70.00 40.00 -7.36 0.5 0.5
75.00 40.00 -7.85 0.5 0.5
80.00 40.00 -9.14 0.5 0.5
85.00 40.00 -12.58 0.5 0.5
0.00 50.00 -20.50 0.0 1.0
5.00 50.00 -20.61 0.0 1.0
10.00 50.00 -19.40 0.0 1.0
15.00 50.00 -17.56 0.0 1.0
20.00 50.00 -15.68 0.0 1.0
25.00 50.00 -13.97 0.0 1.0
30.00 50.00 -12.48 0.0 1.0
35.00 50.00 -11.18 0.0 1.0
40.00 50.00 -10.08 0.0 1.0
45.00 50.00 -9.15 0.5 0.5
50.00 50.00 -8.40 0.5 0.5
55.00 50.00 -7.81 0.5 0.5
60.00 50.00 -7.42 0.5 0.5
65.00 50.00 -7.23 0.5 0.5
70.00 50.00 -7.32 0.5 0.5
75.00 50.00 -7.83 0.5 0.5
80.00 50.00 -9.14 0.5 0.5
85.00 50.00 -12.59 0.5 0.5
0.00 60.00 -20.50 0.0 1.0
5.00 60.00 -20.46 0.0 1.0
10.00 60.00 -19.01 0.0 1.0
15.00 60.00 -17.05 0.0 1.0
20.00 60.00 -15.16 0.0 1.0
25.00 60.00 -13.49 0.0 1.0
30.00 60.00 -12.05 0.0 1.0
35.00 60.00 -10.82 0.0 1.0
40.00 60.00 -9.79 0.0 1.0
45.00 60.00 -8.93 0.5 0.5
50.00 60.00 -8.23 0.5 0.5
55.00 60.00 -7.70 0.5 0.5
60.00 60.00 -7.35 0.5 0.5
65.00 60.00 -7.21 0.5 0.5
70.00 60.00 -7.33 0.5 0.5
75.00 60.00 -7.87 0.5 0.5
80.00 60.00 -9.19 0.5 0.5
85.00 60.00 -12.64 0.5 0.5
0.00 70.00 -20.50 0.0 1.0
5.00 70.00 -20.32 0.0 1.0
10.00 70.00 -18.70 0.0 1.0
15.00 70.00 -16.67 0.0 1.0
20.00 70.00 -14.77 0.0 1.0
25.00 70.00 -13.14 0.0 1.0
30.00 70.00 -11.75 0.0 1.0
35.00 70.00 -10.58 0.0 1.0
40.00 70.00 -9.61 0.0 1.0
45.00 70.00 -8.80 0.5 0.5
50.00 70.00 -8.15 0.5 0.5
55.00 70.00 -7.67 0.5 0.5
60.00 70.00 -7.36 0.5 0.5
65.00 70.00 -7.25 0.5 0.5
70.00 70.00 -7.40 0.5 0.5
75.00 70.00 -7.96 0.5 0.5
80.00 70.00 -9.29 0.5 0.5
85.00 70.00 -12.76 0.5 0.5
0.00 80.00 -20.50 0.0 1.0
5.00 80.00 -20.20 0.0 1.0
10.00 80.00 -18.47 0.0 1.0
15.00 80.00 -16.42 0.0 1.0
20.00 80.00 -14.54 0.0 1.0
25.00 80.00 -12.94 0.0 1.0
30.00 80.00 -11.60 0.0 1.0
35.00 80.00 -10.47 0.0 1.0
40.00 80.00 -9.54 0.0 1.0
45.00 80.00 -8.77 0.5 0.5
50.00 80.00 -8.17 0.5 0.5
55.00 80.00 -7.72 0.5 0.5
60.00 80.00 -7.44 0.5 0.5
65.00 80.00 -7.35 0.5 0.5
70.00 80.00 -7.53 0.5 0.5
75.00 80.00 -8.10 0.5 0.5
80.00 80.00 -9.45 0.5 0.5
85.00 80.00 -12.93 0.5 0.5
0.00 90.00 -20.50 0.0 1.0
5.00 90.00 -20.11 0.0 1.0
10.00 90.00 -18.34 0.0 1.0
15.00 90.00 -16.30 0.0 1.0
20.00 90.00 -14.46 0.0 1.0
25.00 90.00 -12.89 0.0 1.0
30.00 90.00 -11.58 0.0 1.0
35.00 90.00 -10.49 0.0 1.0
40.00 90.00 -9.58 0.0 1.0
45.00 90.00 -8.85 0.5 0.5
50.00 90.00 -8.27 0.5 0.5
55.00 90.00 -7.84 0.5 0.5
60.00 90.00 -7.58 0.5 0.5
65.00 90.00 -7.52 0.5 0.5
70.00 90.00 -7.71 0.5 0.5
75.00 90.00 -8.29 0.5 0.5
80.00 90.00 -9.65 0.5 0.5
85.00 90.00 -13.13 0.5 0.5
0.00 100.00 -20.50 0.0 1.0
5.00 100.00 -20.04 0.0 1.0
10.00 100.00 -18.30 0.0 1.0
15.00 100.00 -16.31 0.0 1.0
20.00 100.00 -14.51 0.0 1.0
25.00 100.00 -12.98 0.0 1.0
30.00 100.00 -11.70 0.0 1.0
35.00 100.00 -10.63 0.0 1.0
40.00 100.00 -9.74 0.0 1.0
45.00 100.00 -9.02 0.5 0.5
50.00 100.00 -8.45 0.5 0.5
55.00 100.00 -8.03 0.5 0.5
