# FGCom-mumble Far-Field Radiation Pattern
# Frequency: 1.8 MHz
# Altitude: 0 m
# Format: Theta Phi Gain_dBi H_Polarization V_Polarization
# Theta: Elevation angle (0-180 degrees)
# Phi: Azimuth angle (0-360 degrees)
# Gain: Antenna gain in dBi
# H_Polarization: Horizontal polarization component
# V_Polarization: Vertical polarization component
0.00 0.00 3.71 0.0 1.0
5.00 0.00 3.98 0.0 1.0
10.00 0.00 4.10 0.0 1.0
15.00 0.00 4.09 0.0 1.0
20.00 0.00 3.96 0.0 1.0
25.00 0.00 3.67 0.0 1.0
30.00 0.00 3.22 0.0 1.0
35.00 0.00 2.56 0.0 1.0
40.00 0.00 1.67 0.0 1.0
45.00 0.00 0.49 0.5 0.5
50.00 0.00 -1.02 0.5 0.5
55.00 0.00 -2.92 0.5 0.5
60.00 0.00 -5.26 0.5 0.5
65.00 0.00 -8.05 0.5 0.5
70.00 0.00 -11.06 0.5 0.5
75.00 0.00 -13.67 0.5 0.5
80.00 0.00 -15.66 0.5 0.5
85.00 0.00 -18.98 0.5 0.5
90.00 0.00 -999.99 0.5 0.5
0.00 10.00 5.01 0.0 1.0
5.00 10.00 5.25 0.0 1.0
10.00 10.00 5.36 0.0 1.0
15.00 10.00 5.36 0.0 1.0
20.00 10.00 5.23 0.0 1.0
25.00 10.00 4.96 0.0 1.0
30.00 10.00 4.53 0.0 1.0
35.00 10.00 3.90 0.0 1.0
40.00 10.00 3.06 0.0 1.0
45.00 10.00 1.95 0.5 0.5
50.00 10.00 0.54 0.5 0.5
55.00 10.00 -1.23 0.5 0.5
60.00 10.00 -3.38 0.5 0.5
65.00 10.00 -5.93 0.5 0.5
70.00 10.00 -8.72 0.5 0.5
75.00 10.00 -11.38 0.5 0.5
80.00 10.00 -13.77 0.5 0.5
85.00 10.00 -17.45 0.5 0.5
90.00 10.00 -999.99 0.5 0.5
0.00 20.00 5.90 0.0 1.0
5.00 20.00 6.11 0.0 1.0
10.00 20.00 6.22 0.0 1.0
15.00 20.00 6.22 0.0 1.0
20.00 20.00 6.10 0.0 1.0
25.00 20.00 5.85 0.0 1.0
30.00 20.00 5.45 0.0 1.0
35.00 20.00 4.87 0.0 1.0
40.00 20.00 4.09 0.0 1.0
45.00 20.00 3.06 0.5 0.5
50.00 20.00 1.74 0.5 0.5
55.00 20.00 0.10 0.5 0.5
60.00 20.00 -1.90 0.5 0.5
65.00 20.00 -4.26 0.5 0.5
70.00 20.00 -6.91 0.5 0.5
75.00 20.00 -9.61 0.5 0.5
80.00 20.00 -12.29 0.5 0.5
85.00 20.00 -16.29 0.5 0.5
90.00 20.00 -999.99 0.5 0.5
0.00 30.00 6.47 0.0 1.0
5.00 30.00 6.65 0.0 1.0
10.00 30.00 6.74 0.0 1.0
15.00 30.00 6.74 0.0 1.0
20.00 30.00 6.64 0.0 1.0
25.00 30.00 6.42 0.0 1.0
30.00 30.00 6.05 0.0 1.0
35.00 30.00 5.52 0.0 1.0
40.00 30.00 4.80 0.0 1.0
45.00 30.00 3.84 0.5 0.5
50.00 30.00 2.62 0.5 0.5
55.00 30.00 1.09 0.5 0.5
60.00 30.00 -0.77 0.5 0.5
65.00 30.00 -2.99 0.5 0.5
70.00 30.00 -5.52 0.5 0.5
75.00 30.00 -8.23 0.5 0.5
80.00 30.00 -11.13 0.5 0.5
85.00 30.00 -15.39 0.5 0.5
90.00 30.00 -999.99 0.5 0.5
0.00 40.00 6.75 0.0 1.0
5.00 40.00 6.90 0.0 1.0
10.00 40.00 6.98 0.0 1.0
15.00 40.00 6.98 0.0 1.0
20.00 40.00 6.88 0.0 1.0
25.00 40.00 6.68 0.0 1.0
30.00 40.00 6.35 0.0 1.0
35.00 40.00 5.87 0.0 1.0
40.00 40.00 5.19 0.0 1.0
45.00 40.00 4.31 0.5 0.5
50.00 40.00 3.17 0.5 0.5
55.00 40.00 1.74 0.5 0.5
60.00 40.00 -0.02 0.5 0.5
65.00 40.00 -2.11 0.5 0.5
70.00 40.00 -4.54 0.5 0.5
75.00 40.00 -7.25 0.5 0.5
80.00 40.00 -10.28 0.5 0.5
85.00 40.00 -14.75 0.5 0.5
90.00 40.00 -999.99 0.5 0.5
0.00 50.00 6.77 0.0 1.0
5.00 50.00 6.88 0.0 1.0
10.00 50.00 6.93 0.0 1.0
15.00 50.00 6.93 0.0 1.0
20.00 50.00 6.84 0.0 1.0
25.00 50.00 6.66 0.0 1.0
30.00 50.00 6.35 0.0 1.0
35.00 50.00 5.90 0.0 1.0
40.00 50.00 5.28 0.0 1.0
45.00 50.00 4.44 0.5 0.5
50.00 50.00 3.37 0.5 0.5
55.00 50.00 2.01 0.5 0.5
60.00 50.00 0.34 0.5 0.5
65.00 50.00 -1.66 0.5 0.5
70.00 50.00 -4.02 0.5 0.5
75.00 50.00 -6.70 0.5 0.5
80.00 50.00 -9.81 0.5 0.5
85.00 50.00 -14.42 0.5 0.5
90.00 50.00 -999.99 0.5 0.5
0.00 60.00 6.52 0.0 1.0
5.00 60.00 6.59 0.0 1.0
10.00 60.00 6.62 0.0 1.0
15.00 60.00 6.60 0.0 1.0
20.00 60.00 6.51 0.0 1.0
25.00 60.00 6.33 0.0 1.0
30.00 60.00 6.04 0.0 1.0
35.00 60.00 5.62 0.0 1.0
40.00 60.00 5.02 0.0 1.0
45.00 60.00 4.22 0.5 0.5
50.00 60.00 3.19 0.5 0.5
55.00 60.00 1.88 0.5 0.5
60.00 60.00 0.27 0.5 0.5
65.00 60.00 -1.68 0.5 0.5
70.00 60.00 -3.99 0.5 0.5
75.00 60.00 -6.65 0.5 0.5
80.00 60.00 -9.79 0.5 0.5
85.00 60.00 -14.48 0.5 0.5
90.00 60.00 -999.99 0.5 0.5
0.00 70.00 5.98 0.0 1.0
5.00 70.00 6.01 0.0 1.0
10.00 70.00 6.02 0.0 1.0
15.00 70.00 5.98 0.0 1.0
20.00 70.00 5.88 0.0 1.0
25.00 70.00 5.70 0.0 1.0
30.00 70.00 5.41 0.0 1.0
35.00 70.00 4.99 0.0 1.0
40.00 70.00 4.41 0.0 1.0
45.00 70.00 3.63 0.5 0.5
50.00 70.00 2.61 0.5 0.5
55.00 70.00 1.33 0.5 0.5
60.00 70.00 -0.26 0.5 0.5
65.00 70.00 -2.19 0.5 0.5
70.00 70.00 -4.47 0.5 0.5
75.00 70.00 -7.11 0.5 0.5
80.00 70.00 -10.25 0.5 0.5
85.00 70.00 -14.94 0.5 0.5
90.00 70.00 -999.99 0.5 0.5
