# FGCom-mumble Far-Field Radiation Pattern
# Frequency: 1.8 MHz
# Altitude: 0 m
# Format: Theta Phi Gain_dBi H_Polarization V_Polarization
# Theta: Elevation angle (0-180 degrees)
# Phi: Azimuth angle (0-360 degrees)
# Gain: Antenna gain in dBi
# H_Polarization: Horizontal polarization component
# V_Polarization: Vertical polarization component
0.00 0.00 -16.51 0.0 1.0
5.00 0.00 -16.96 0.0 1.0
10.00 0.00 -15.05 0.0 1.0
15.00 0.00 -12.59 0.0 1.0
20.00 0.00 -10.42 0.0 1.0
25.00 0.00 -8.65 0.0 1.0
30.00 0.00 -7.19 0.0 1.0
35.00 0.00 -6.00 0.0 1.0
40.00 0.00 -5.01 0.0 1.0
45.00 0.00 -4.20 0.5 0.5
50.00 0.00 -3.55 0.5 0.5
55.00 0.00 -3.03 0.5 0.5
60.00 0.00 -2.66 0.5 0.5
65.00 0.00 -2.43 0.5 0.5
70.00 0.00 -2.39 0.5 0.5
75.00 0.00 -2.61 0.5 0.5
80.00 0.00 -3.35 0.5 0.5
85.00 0.00 -5.66 0.5 0.5
90.00 0.00 -999.99 0.5 0.5
0.00 10.00 -16.70 0.0 1.0
5.00 10.00 -17.20 0.0 1.0
10.00 10.00 -15.23 0.0 1.0
15.00 10.00 -12.70 0.0 1.0
20.00 10.00 -10.50 0.0 1.0
25.00 10.00 -8.70 0.0 1.0
30.00 10.00 -7.24 0.0 1.0
35.00 10.00 -6.03 0.0 1.0
40.00 10.00 -5.04 0.0 1.0
45.00 10.00 -4.23 0.5 0.5
50.00 10.00 -3.57 0.5 0.5
55.00 10.00 -3.05 0.5 0.5
60.00 10.00 -2.67 0.5 0.5
65.00 10.00 -2.45 0.5 0.5
70.00 10.00 -2.40 0.5 0.5
75.00 10.00 -2.62 0.5 0.5
80.00 10.00 -3.36 0.5 0.5
85.00 10.00 -5.68 0.5 0.5
90.00 10.00 -999.99 0.5 0.5
0.00 20.00 -17.15 0.0 1.0
5.00 20.00 -17.69 0.0 1.0
10.00 20.00 -15.50 0.0 1.0
15.00 20.00 -12.83 0.0 1.0
20.00 20.00 -10.57 0.0 1.0
25.00 20.00 -8.74 0.0 1.0
30.00 20.00 -7.26 0.0 1.0
35.00 20.00 -6.04 0.0 1.0
40.00 20.00 -5.05 0.0 1.0
45.00 20.00 -4.23 0.5 0.5
50.00 20.00 -3.57 0.5 0.5
55.00 20.00 -3.05 0.5 0.5
60.00 20.00 -2.67 0.5 0.5
65.00 20.00 -2.44 0.5 0.5
70.00 20.00 -2.40 0.5 0.5
75.00 20.00 -2.62 0.5 0.5
80.00 20.00 -3.36 0.5 0.5
85.00 20.00 -5.67 0.5 0.5
90.00 20.00 -999.99 0.5 0.5
0.00 30.00 -17.92 0.0 1.0
5.00 30.00 -18.44 0.0 1.0
10.00 30.00 -15.86 0.0 1.0
15.00 30.00 -12.97 0.0 1.0
20.00 30.00 -10.62 0.0 1.0
25.00 30.00 -8.75 0.0 1.0
30.00 30.00 -7.25 0.0 1.0
35.00 30.00 -6.03 0.0 1.0
40.00 30.00 -5.03 0.0 1.0
45.00 30.00 -4.21 0.5 0.5
50.00 30.00 -3.54 0.5 0.5
55.00 30.00 -3.02 0.5 0.5
60.00 30.00 -2.65 0.5 0.5
65.00 30.00 -2.42 0.5 0.5
70.00 30.00 -2.37 0.5 0.5
75.00 30.00 -2.59 0.5 0.5
80.00 30.00 -3.33 0.5 0.5
85.00 30.00 -5.65 0.5 0.5
90.00 30.00 -999.99 0.5 0.5
0.00 40.00 -19.04 0.0 1.0
5.00 40.00 -19.46 0.0 1.0
10.00 40.00 -16.25 0.0 1.0
15.00 40.00 -13.09 0.0 1.0
20.00 40.00 -10.64 0.0 1.0
25.00 40.00 -8.74 0.0 1.0
30.00 40.00 -7.22 0.0 1.0
35.00 40.00 -5.99 0.0 1.0
40.00 40.00 -4.98 0.0 1.0
45.00 40.00 -4.16 0.5 0.5
50.00 40.00 -3.50 0.5 0.5
55.00 40.00 -2.98 0.5 0.5
60.00 40.00 -2.60 0.5 0.5
65.00 40.00 -2.37 0.5 0.5
70.00 40.00 -2.33 0.5 0.5
75.00 40.00 -2.55 0.5 0.5
80.00 40.00 -3.29 0.5 0.5
85.00 40.00 -5.61 0.5 0.5
90.00 40.00 -999.99 0.5 0.5
0.00 50.00 -20.65 0.0 1.0
5.00 50.00 -20.75 0.0 1.0
10.00 50.00 -16.60 0.0 1.0
15.00 50.00 -13.16 0.0 1.0
20.00 50.00 -10.62 0.0 1.0
25.00 50.00 -8.69 0.0 1.0
30.00 50.00 -7.15 0.0 1.0
35.00 50.00 -5.92 0.0 1.0
40.00 50.00 -4.91 0.0 1.0
45.00 50.00 -4.09 0.5 0.5
50.00 50.00 -3.43 0.5 0.5
55.00 50.00 -2.91 0.5 0.5
60.00 50.00 -2.54 0.5 0.5
