# FGCom-mumble Far-Field Radiation Pattern
# Frequency: 5.3 MHz
# Altitude: 0 m
# Format: Theta Phi Gain_dBi H_Polarization V_Polarization
# Theta: Elevation angle (0-180 degrees)
# Phi: Azimuth angle (0-360 degrees)
# Gain: Antenna gain in dBi
# H_Polarization: Horizontal polarization component
# V_Polarization: Vertical polarization component
0.00 0.00 -33.78 0.0 1.0
5.00 0.00 -31.17 0.0 1.0
10.00 0.00 -24.27 0.0 1.0
15.00 0.00 -20.35 0.0 1.0
20.00 0.00 -17.70 0.0 1.0
25.00 0.00 -15.73 0.0 1.0
30.00 0.00 -14.19 0.0 1.0
35.00 0.00 -12.97 0.0 1.0
40.00 0.00 -11.98 0.0 1.0
45.00 0.00 -11.18 0.5 0.5
50.00 0.00 -10.56 0.5 0.5
55.00 0.00 -10.09 0.5 0.5
60.00 0.00 -9.79 0.5 0.5
65.00 0.00 -9.68 0.5 0.5
70.00 0.00 -9.81 0.5 0.5
75.00 0.00 -10.30 0.5 0.5
80.00 0.00 -11.51 0.5 0.5
85.00 0.00 -14.74 0.5 0.5
90.00 0.00 -999.99 0.5 0.5
0.00 10.00 -33.91 0.0 1.0
5.00 10.00 -31.16 0.0 1.0
10.00 10.00 -24.25 0.0 1.0
15.00 10.00 -20.34 0.0 1.0
20.00 10.00 -17.68 0.0 1.0
25.00 10.00 -15.72 0.0 1.0
30.00 10.00 -14.18 0.0 1.0
35.00 10.00 -12.96 0.0 1.0
40.00 10.00 -11.97 0.0 1.0
45.00 10.00 -11.17 0.5 0.5
50.00 10.00 -10.55 0.5 0.5
55.00 10.00 -10.09 0.5 0.5
60.00 10.00 -9.79 0.5 0.5
65.00 10.00 -9.68 0.5 0.5
70.00 10.00 -9.80 0.5 0.5
75.00 10.00 -10.30 0.5 0.5
80.00 10.00 -11.51 0.5 0.5
85.00 10.00 -14.74 0.5 0.5
90.00 10.00 -999.99 0.5 0.5
0.00 20.00 -34.31 0.0 1.0
5.00 20.00 -31.10 0.0 1.0
10.00 20.00 -24.19 0.0 1.0
15.00 20.00 -20.29 0.0 1.0
20.00 20.00 -17.65 0.0 1.0
25.00 20.00 -15.68 0.0 1.0
30.00 20.00 -14.16 0.0 1.0
35.00 20.00 -12.93 0.0 1.0
40.00 20.00 -11.95 0.0 1.0
45.00 20.00 -11.16 0.5 0.5
50.00 20.00 -10.53 0.5 0.5
55.00 20.00 -10.07 0.5 0.5
60.00 20.00 -9.77 0.5 0.5
65.00 20.00 -9.66 0.5 0.5
70.00 20.00 -9.79 0.5 0.5
75.00 20.00 -10.28 0.5 0.5
80.00 20.00 -11.50 0.5 0.5
85.00 20.00 -14.73 0.5 0.5
90.00 20.00 -999.99 0.5 0.5
0.00 30.00 -35.02 0.0 1.0
5.00 30.00 -31.00 0.0 1.0
10.00 30.00 -24.08 0.0 1.0
15.00 30.00 -20.21 0.0 1.0
20.00 30.00 -17.58 0.0 1.0
25.00 30.00 -15.63 0.0 1.0
30.00 30.00 -14.11 0.0 1.0
35.00 30.00 -12.90 0.0 1.0
40.00 30.00 -11.91 0.0 1.0
45.00 30.00 -11.12 0.5 0.5
50.00 30.00 -10.50 0.5 0.5
55.00 30.00 -10.04 0.5 0.5
60.00 30.00 -9.75 0.5 0.5
65.00 30.00 -9.64 0.5 0.5
70.00 30.00 -9.76 0.5 0.5
75.00 30.00 -10.26 0.5 0.5
80.00 30.00 -11.47 0.5 0.5
85.00 30.00 -14.70 0.5 0.5
90.00 30.00 -999.99 0.5 0.5
0.00 40.00 -36.08 0.0 1.0
5.00 40.00 -30.83 0.0 1.0
10.00 40.00 -23.93 0.0 1.0
15.00 40.00 -20.10 0.0 1.0
20.00 40.00 -17.50 0.0 1.0
25.00 40.00 -15.56 0.0 1.0
30.00 40.00 -14.05 0.0 1.0
35.00 40.00 -12.84 0.0 1.0
40.00 40.00 -11.87 0.0 1.0
45.00 40.00 -11.08 0.5 0.5
50.00 40.00 -10.46 0.5 0.5
55.00 40.00 -10.01 0.5 0.5
60.00 40.00 -9.71 0.5 0.5
65.00 40.00 -9.60 0.5 0.5
70.00 40.00 -9.73 0.5 0.5
75.00 40.00 -10.23 0.5 0.5
80.00 40.00 -11.44 0.5 0.5
85.00 40.00 -14.67 0.5 0.5
90.00 40.00 -999.99 0.5 0.5
0.00 50.00 -37.60 0.0 1.0
5.00 50.00 -30.57 0.0 1.0
10.00 50.00 -23.75 0.0 1.0
15.00 50.00 -19.97 0.0 1.0
20.00 50.00 -17.40 0.0 1.0
25.00 50.00 -15.48 0.0 1.0
30.00 50.00 -13.98 0.0 1.0
35.00 50.00 -12.78 0.0 1.0
40.00 50.00 -11.81 0.0 1.0
45.00 50.00 -11.03 0.5 0.5
50.00 50.00 -10.42 0.5 0.5
55.00 50.00 -9.96 0.5 0.5
60.00 50.00 -9.67 0.5 0.5
65.00 50.00 -9.56 0.5 0.5
70.00 50.00 -9.69 0.5 0.5
75.00 50.00 -10.19 0.5 0.5
80.00 50.00 -11.40 0.5 0.5
85.00 50.00 -14.64 0.5 0.5
90.00 50.00 -999.99 0.5 0.5
0.00 60.00 -39.77 0.0 1.0
5.00 60.00 -30.21 0.0 1.0
10.00 60.00 -23.53 0.0 1.0
15.00 60.00 -19.82 0.0 1.0
20.00 60.00 -17.28 0.0 1.0
25.00 60.00 -15.38 0.0 1.0
30.00 60.00 -13.90 0.0 1.0
35.00 60.00 -12.71 0.0 1.0
40.00 60.00 -11.74 0.0 1.0
45.00 60.00 -10.97 0.5 0.5
50.00 60.00 -10.36 0.5 0.5
55.00 60.00 -9.91 0.5 0.5
60.00 60.00 -9.62 0.5 0.5
65.00 60.00 -9.51 0.5 0.5
70.00 60.00 -9.65 0.5 0.5
75.00 60.00 -10.15 0.5 0.5
80.00 60.00 -11.36 0.5 0.5
85.00 60.00 -14.59 0.5 0.5
90.00 60.00 -999.99 0.5 0.5
0.00 70.00 -43.05 0.0 1.0
5.00 70.00 -29.78 0.0 1.0
10.00 70.00 -23.28 0.0 1.0
15.00 70.00 -19.65 0.0 1.0
20.00 70.00 -17.15 0.0 1.0
25.00 70.00 -15.28 0.0 1.0
30.00 70.00 -13.81 0.0 1.0
35.00 70.00 -12.63 0.0 1.0
40.00 70.00 -11.67 0.0 1.0
45.00 70.00 -10.90 0.5 0.5
50.00 70.00 -10.30 0.5 0.5
55.00 70.00 -9.85 0.5 0.5
60.00 70.00 -9.57 0.5 0.5
65.00 70.00 -9.46 0.5 0.5
70.00 70.00 -9.60 0.5 0.5
75.00 70.00 -10.10 0.5 0.5
80.00 70.00 -11.31 0.5 0.5
85.00 70.00 -14.55 0.5 0.5
90.00 70.00 -999.99 0.5 0.5
0.00 80.00 -48.87 0.0 1.0
5.00 80.00 -29.27 0.0 1.0
10.00 80.00 -23.01 0.0 1.0
15.00 80.00 -19.46 0.0 1.0
20.00 80.00 -17.01 0.0 1.0
25.00 80.00 -15.16 0.0 1.0
30.00 80.00 -13.71 0.0 1.0
35.00 80.00 -12.54 0.0 1.0
40.00 80.00 -11.60 0.0 1.0
45.00 80.00 -10.84 0.5 0.5
50.00 80.00 -10.24 0.5 0.5
55.00 80.00 -9.79 0.5 0.5
60.00 80.00 -9.51 0.5 0.5
65.00 80.00 -9.41 0.5 0.5
70.00 80.00 -9.55 0.5 0.5
75.00 80.00 -10.05 0.5 0.5
80.00 80.00 -11.26 0.5 0.5
85.00 80.00 -14.50 0.5 0.5
90.00 80.00 -999.99 0.5 0.5
0.00 90.00 -85.72 0.0 1.0
5.00 90.00 -28.72 0.0 1.0
10.00 90.00 -22.74 0.0 1.0
15.00 90.00 -19.28 0.0 1.0
20.00 90.00 -16.87 0.0 1.0
25.00 90.00 -15.05 0.0 1.0
30.00 90.00 -13.61 0.0 1.0
35.00 90.00 -12.46 0.0 1.0
40.00 90.00 -11.52 0.0 1.0
45.00 90.00 -10.77 0.5 0.5
50.00 90.00 -10.17 0.5 0.5
55.00 90.00 -9.73 0.5 0.5
60.00 90.00 -9.45 0.5 0.5
65.00 90.00 -9.36 0.5 0.5
70.00 90.00 -9.50 0.5 0.5
75.00 90.00 -10.00 0.5 0.5
80.00 90.00 -11.22 0.5 0.5
85.00 90.00 -14.45 0.5 0.5
90.00 90.00 -999.99 0.5 0.5
0.00 100.00 -49.10 0.0 1.0
5.00 100.00 -28.17 0.0 1.0
10.00 100.00 -22.46 0.0 1.0
15.00 100.00 -19.09 0.0 1.0
20.00 100.00 -16.73 0.0 1.0
25.00 100.00 -14.93 0.0 1.0
30.00 100.00 -13.52 0.0 1.0
35.00 100.00 -12.38 0.0 1.0
40.00 100.00 -11.45 0.0 1.0
45.00 100.00 -10.70 0.5 0.5
50.00 100.00 -10.11 0.5 0.5
55.00 100.00 -9.68 0.5 0.5
60.00 100.00 -9.40 0.5 0.5
65.00 100.00 -9.30 0.5 0.5
70.00 100.00 -9.45 0.5 0.5
75.00 100.00 -9.95 0.5 0.5
80.00 100.00 -11.17 0.5 0.5
85.00 100.00 -14.40 0.5 0.5
90.00 100.00 -999.99 0.5 0.5
0.00 110.00 -43.16 0.0 1.0
5.00 110.00 -27.63 0.0 1.0
10.00 110.00 -22.19 0.0 1.0
15.00 110.00 -18.91 0.0 1.0
20.00 110.00 -16.59 0.0 1.0
25.00 110.00 -14.83 0.0 1.0
30.00 110.00 -13.43 0.0 1.0
35.00 110.00 -12.30 0.0 1.0
40.00 110.00 -11.38 0.0 1.0
45.00 110.00 -10.64 0.5 0.5
50.00 110.00 -10.05 0.5 0.5
55.00 110.00 -9.62 0.5 0.5
60.00 110.00 -9.35 0.5 0.5
65.00 110.00 -9.26 0.5 0.5
70.00 110.00 -9.40 0.5 0.5
75.00 110.00 -9.90 0.5 0.5
80.00 110.00 -11.12 0.5 0.5
85.00 110.00 -14.36 0.5 0.5
90.00 110.00 -999.99 0.5 0.5
0.00 120.00 -39.84 0.0 1.0
5.00 120.00 -27.13 0.0 1.0
10.00 120.00 -21.94 0.0 1.0
15.00 120.00 -18.74 0.0 1.0
20.00 120.00 -16.47 0.0 1.0
25.00 120.00 -14.73 0.0 1.0
30.00 120.00 -13.34 0.0 1.0
35.00 120.00 -12.22 0.0 1.0
40.00 120.00 -11.31 0.0 1.0
45.00 120.00 -10.58 0.5 0.5
50.00 120.00 -10.00 0.5 0.5
55.00 120.00 -9.57 0.5 0.5
60.00 120.00 -9.30 0.5 0.5
