# FGCom-mumble Far-Field Radiation Pattern
# Frequency: 50.0 MHz
# Altitude: 0 m
# Format: Theta Phi Gain_dBi H_Polarization V_Polarization
# Theta: Elevation angle (0-180 degrees)
# Phi: Azimuth angle (0-360 degrees)
# Gain: Antenna gain in dBi
# H_Polarization: Horizontal polarization component
# V_Polarization: Vertical polarization component
0.00 0.00 -6.68 0.0 1.0
5.00 0.00 -5.95 0.0 1.0
10.00 0.00 -5.60 0.0 1.0
15.00 0.00 -5.51 0.0 1.0
20.00 0.00 -5.60 0.0 1.0
25.00 0.00 -5.75 0.0 1.0
30.00 0.00 -5.87 0.0 1.0
35.00 0.00 -5.88 0.0 1.0
40.00 0.00 -5.79 0.0 1.0
45.00 0.00 -5.69 0.5 0.5
50.00 0.00 -5.64 0.5 0.5
55.00 0.00 -5.70 0.5 0.5
60.00 0.00 -5.84 0.5 0.5
65.00 0.00 -6.07 0.5 0.5
70.00 0.00 -6.46 0.5 0.5
75.00 0.00 -7.28 0.5 0.5
80.00 0.00 -9.12 0.5 0.5
85.00 0.00 -13.56 0.5 0.5
90.00 0.00 -999.99 0.5 0.5
0.00 10.00 -6.82 0.0 1.0
5.00 10.00 -6.07 0.0 1.0
10.00 10.00 -5.68 0.0 1.0
15.00 10.00 -5.56 0.0 1.0
20.00 10.00 -5.61 0.0 1.0
25.00 10.00 -5.73 0.0 1.0
30.00 10.00 -5.81 0.0 1.0
35.00 10.00 -5.80 0.0 1.0
40.00 10.00 -5.71 0.0 1.0
45.00 10.00 -5.61 0.5 0.5
50.00 10.00 -5.58 0.5 0.5
55.00 10.00 -5.65 0.5 0.5
60.00 10.00 -5.80 0.5 0.5
65.00 10.00 -6.03 0.5 0.5
70.00 10.00 -6.43 0.5 0.5
75.00 10.00 -7.25 0.5 0.5
80.00 10.00 -9.09 0.5 0.5
85.00 10.00 -13.54 0.5 0.5
90.00 10.00 -999.99 0.5 0.5
0.00 20.00 -7.22 0.0 1.0
5.00 20.00 -6.41 0.0 1.0
10.00 20.00 -5.94 0.0 1.0
15.00 20.00 -5.73 0.0 1.0
20.00 20.00 -5.67 0.0 1.0
25.00 20.00 -5.67 0.0 1.0
30.00 20.00 -5.65 0.0 1.0
35.00 20.00 -5.58 0.0 1.0
40.00 20.00 -5.47 0.0 1.0
45.00 20.00 -5.39 0.5 0.5
50.00 20.00 -5.39 0.5 0.5
55.00 20.00 -5.49 0.5 0.5
60.00 20.00 -5.67 0.5 0.5
65.00 20.00 -5.92 0.5 0.5
70.00 20.00 -6.33 0.5 0.5
75.00 20.00 -7.16 0.5 0.5
80.00 20.00 -9.01 0.5 0.5
85.00 20.00 -13.46 0.5 0.5
90.00 20.00 -999.99 0.5 0.5
0.00 30.00 -7.93 0.0 1.0
5.00 30.00 -7.00 0.0 1.0
10.00 30.00 -6.40 0.0 1.0
15.00 30.00 -6.02 0.0 1.0
20.00 30.00 -5.78 0.0 1.0
25.00 30.00 -5.60 0.0 1.0
30.00 30.00 -5.43 0.0 1.0
35.00 30.00 -5.26 0.0 1.0
40.00 30.00 -5.12 0.0 1.0
45.00 30.00 -5.04 0.5 0.5
50.00 30.00 -5.07 0.5 0.5
55.00 30.00 -5.21 0.5 0.5
60.00 30.00 -5.43 0.5 0.5
65.00 30.00 -5.71 0.5 0.5
70.00 30.00 -6.14 0.5 0.5
75.00 30.00 -6.99 0.5 0.5
80.00 30.00 -8.85 0.5 0.5
85.00 30.00 -13.31 0.5 0.5
90.00 30.00 -999.99 0.5 0.5
0.00 40.00 -9.00 0.0 1.0
5.00 40.00 -7.87 0.0 1.0
10.00 40.00 -7.07 0.0 1.0
15.00 40.00 -6.47 0.0 1.0
20.00 40.00 -5.99 0.0 1.0
25.00 40.00 -5.59 0.0 1.0
30.00 40.00 -5.23 0.0 1.0
35.00 40.00 -4.93 0.0 1.0
40.00 40.00 -4.72 0.0 1.0
45.00 40.00 -4.63 0.5 0.5
50.00 40.00 -4.68 0.5 0.5
55.00 40.00 -4.85 0.5 0.5
60.00 40.00 -5.10 0.5 0.5
65.00 40.00 -5.41 0.5 0.5
70.00 40.00 -5.87 0.5 0.5
75.00 40.00 -6.75 0.5 0.5
80.00 40.00 -8.63 0.5 0.5
85.00 40.00 -13.10 0.5 0.5
90.00 40.00 -999.99 0.5 0.5
0.00 50.00 -10.52 0.0 1.0
5.00 50.00 -9.10 0.0 1.0
10.00 50.00 -7.99 0.0 1.0
15.00 50.00 -7.09 0.0 1.0
20.00 50.00 -6.33 0.0 1.0
25.00 50.00 -5.67 0.0 1.0
30.00 50.00 -5.11 0.0 1.0
35.00 50.00 -4.67 0.0 1.0
40.00 50.00 -4.38 0.0 1.0
45.00 50.00 -4.25 0.5 0.5
