Band,Mode,StartFreq,EndFreq,Region,Country,LicenseClass,PowerLimit,Notes
2200m,CW,135.7,137.8,1,UK,Full,1500,"1500W TX to antenna, 1W EIRP max, LF band"
2200m,CW,135.7,137.8,1,UK,Intermediate,400,"400W TX to antenna, 1W EIRP max, LF band"
2200m,Digital,135.7,137.8,1,UK,Full,1500,"1500W TX to antenna, 1W EIRP max, LF band"
2200m,Digital,135.7,137.8,1,UK,Intermediate,400,"400W TX to antenna, 1W EIRP max, LF band"
2200m,CW,135.7,137.8,1,Germany,Class A,750,"750W TX to antenna, 1W EIRP max, LF band"
2200m,CW,135.7,137.8,1,Germany,Class E,75,"75W TX to antenna, 1W EIRP max, LF band"
2200m,Digital,135.7,137.8,1,Germany,Class A,750,"750W TX to antenna, 1W EIRP max, LF band"
2200m,Digital,135.7,137.8,1,Germany,Class E,75,"75W TX to antenna, 1W EIRP max, LF band"
2200m,CW,135.7,137.8,2,USA,Extra,1500,"1500W TX to antenna, 1W EIRP max, LF band"
2200m,CW,135.7,137.8,2,USA,Advanced,1500,"1500W TX to antenna, 1W EIRP max, LF band"
2200m,CW,135.7,137.8,2,USA,General,1500,"1500W TX to antenna, 1W EIRP max, LF band"
2200m,Digital,135.7,137.8,2,USA,Extra,1500,"1500W TX to antenna, 1W EIRP max, LF band"
2200m,Digital,135.7,137.8,2,USA,Advanced,1500,"1500W TX to antenna, 1W EIRP max, LF band"
2200m,Digital,135.7,137.8,2,USA,General,1500,"1500W TX to antenna, 1W EIRP max, LF band"
2200m,CW,135.7,137.8,2,Canada,Advanced,2250,"2250W TX to antenna, 1W EIRP max, LF band"
2200m,CW,135.7,137.8,2,Canada,Basic,1000,"1000W TX to antenna, 1W EIRP max, LF band"
2200m,Digital,135.7,137.8,2,Canada,Advanced,2250,"2250W TX to antenna, 1W EIRP max, LF band"
2200m,Digital,135.7,137.8,2,Canada,Basic,1000,"1000W TX to antenna, 1W EIRP max, LF band"
2200m,CW,135.7,137.8,3,Australia,Advanced,400,"400W TX to antenna, 1W EIRP max, LF band"
2200m,Digital,135.7,137.8,3,Australia,Advanced,400,"400W TX to antenna, 1W EIRP max, LF band"
2200m,CW,135.7,137.8,1,Norway,Special,200,"200W TX to antenna, 1W EIRP max, LF band"
2200m,Digital,135.7,137.8,1,Norway,Special,200,"200W TX to antenna, 1W EIRP max, LF band"
630m,CW,472,479,1,UK,Full,1500,"1500W TX to antenna, 5W EIRP max, MF band"
630m,CW,472,479,1,UK,Intermediate,400,"400W TX to antenna, 5W EIRP max, MF band"
630m,Digital,472,479,1,UK,Full,1500,"1500W TX to antenna, 5W EIRP max, MF band"
630m,Digital,472,479,1,UK,Intermediate,400,"400W TX to antenna, 5W EIRP max, MF band"
630m,CW,472,479,1,Germany,Class A,750,"750W TX to antenna, 5W EIRP max, MF band"
630m,CW,472,479,1,Germany,Class E,75,"75W TX to antenna, 5W EIRP max, MF band"
630m,Digital,472,479,1,Germany,Class A,750,"750W TX to antenna, 5W EIRP max, MF band"
630m,Digital,472,479,1,Germany,Class E,75,"75W TX to antenna, 5W EIRP max, MF band"
630m,CW,472,479,2,USA,Extra,500,"500W TX to antenna, 5W EIRP max, MF band"
630m,CW,472,479,2,USA,Advanced,500,"500W TX to antenna, 5W EIRP max, MF band"
630m,CW,472,479,2,USA,General,500,"500W TX to antenna, 5W EIRP max, MF band"
630m,Digital,472,479,2,USA,Extra,500,"500W TX to antenna, 5W EIRP max, MF band"
630m,Digital,472,479,2,USA,Advanced,500,"500W TX to antenna, 5W EIRP max, MF band"
630m,Digital,472,479,2,USA,General,500,"500W TX to antenna, 5W EIRP max, MF band"
630m,CW,472,479,2,Canada,Advanced,2250,"2250W TX to antenna, 5W EIRP max, MF band"
630m,CW,472,479,2,Canada,Basic,1000,"1000W TX to antenna, 5W EIRP max, MF band"
630m,Digital,472,479,2,Canada,Advanced,2250,"2250W TX to antenna, 5W EIRP max, MF band"
630m,Digital,472,479,2,Canada,Basic,1000,"1000W TX to antenna, 5W EIRP max, MF band"
630m,CW,472,479,3,Australia,Advanced,400,"400W TX to antenna, 5W EIRP max, MF band"
630m,Digital,472,479,3,Australia,Advanced,400,"400W TX to antenna, 5W EIRP max, MF band"
630m,CW,472,479,1,Norway,Special,100,"100W TX to antenna, 5W EIRP max, MF band"
630m,Digital,472,479,1,Norway,Special,100,"100W TX to antenna, 5W EIRP max, MF band"
630m,CW,472,479,3,New Zealand,General,1000,"1000W TX to antenna, 5W EIRP max, MF band"
630m,Digital,472,479,3,New Zealand,General,1000,"1000W TX to antenna, 5W EIRP max, MF band"
160m,CW,1850,2000,1,Norway,Special,10,"1850-2000 kHz, 10W TX to antenna"
160m,SSB,1850,2000,1,Norway,Special,10,"1850-2000 kHz, 10W TX to antenna"
160m,CW,1810,1838,1,UK,Full,1000,"CW only below 1838 kHz"
160m,CW,1810,1838,1,UK,Intermediate,50,"CW only below 1838 kHz"
160m,CW,1810,1838,1,UK,Foundation,10,"CW only below 1838 kHz"
160m,SSB,1838,2000,1,UK,Full,1000,"SSB and digital modes"
160m,SSB,1838,2000,1,UK,Intermediate,50,"SSB and digital modes"
160m,SSB,1838,2000,1,UK,Foundation,10,"SSB and digital modes"
160m,CW,1810,1838,1,Germany,Class A,750,"CW only below 1838 kHz"
160m,CW,1810,1838,1,Germany,Class E,75,"CW only below 1838 kHz"
160m,SSB,1838,2000,1,Germany,Class A,750,"SSB and digital modes"
160m,SSB,1838,2000,1,Germany,Class E,75,"SSB and digital modes"
160m,CW,1810,1838,1,Switzerland,HB9,1000,"CW only below 1838 kHz"
160m,SSB,1838,2000,1,Switzerland,HB9,1000,"SSB and digital modes"
160m,CW,1810,1838,1,Belgium,HAREC,1000,"CW only below 1838 kHz"
160m,SSB,1838,2000,1,Belgium,HAREC,1000,"SSB and digital modes"
160m,CW,1810,1838,1,Italy,Class A,500,"CW only below 1838 kHz"
160m,CW,1810,1838,1,Italy,Class B,150,"CW only below 1838 kHz"
160m,CW,1810,1838,1,Italy,Class C,50,"CW only below 1838 kHz"
160m,SSB,1838,2000,1,Italy,Class A,500,"SSB and digital modes"
160m,SSB,1838,2000,1,Italy,Class B,150,"SSB and digital modes"
160m,SSB,1838,2000,1,Italy,Class C,50,"SSB and digital modes"
160m,CW,1800,1840,2,USA,Extra,1500,"CW only below 1840 kHz"
160m,CW,1800,1840,2,USA,Advanced,1500,"CW only below 1840 kHz"
160m,CW,1800,1840,2,USA,General,1500,"CW only below 1840 kHz"
160m,CW,1800,1840,2,USA,Technician,200,"CW only below 1840 kHz, limited sub-bands"
160m,SSB,1840,2000,2,USA,Extra,1500,"SSB and digital modes"
160m,SSB,1840,2000,2,USA,Advanced,1500,"SSB and digital modes"
160m,SSB,1840,2000,2,USA,General,1500,"SSB and digital modes"
160m,CW,1800,1840,2,Canada,Advanced,2250,"CW only below 1840 kHz"
160m,CW,1800,1840,2,Canada,Basic,1000,"CW only below 1840 kHz"
160m,SSB,1840,2000,2,Canada,Advanced,2250,"SSB and digital modes"
160m,SSB,1840,2000,2,Canada,Basic,1000,"SSB and digital modes"
